Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWp,175,222.5,255.5,268.5,276,277.5,328,551.5,856,1103.5,1187,1244,1377.5,1528.5,1654,1760,1921.5,2062.5,2190,2326.5
ag003,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,1.5,1.5,1.5,1.5,2,2,2,2,2
ag004,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,4.5,4.5,4.5,4.5
ag005,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,4.5,4.5,4.5,4.5,6.5,6.5,6.5
ag010,0,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,2.5,4,4,4,4
ag012,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,6,6,6,6,7.5,7.5,7.5,7.5
ag013,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3,3,5,5,5,5,7.5
ag014,1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5,5,5,5,5,6.5,6.5,6.5
ag015,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5,2.5,3,3,3,3,3
ag016,0,0,1,1,1,1,1,1,1,6.5,6.5,6.5,6.5,6.5,10.5,10.5,10.5,10.5,14.5,14.5
ag017,0,2,2,2,2,2,2,2,9,9,9,9,9,13.5,13.5,13.5,16,16,16,16
ag018,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,6.5,6.5
ag019,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2,3,3,3,3,3.5,3.5,3.5
ag020,1,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5,9.5,9.5,9.5,9.5,13,13,13
ag021,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10,10,10,10,13.5,13.5,13.5,13.5,16.5,16.5,16.5
