Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWh,0,0,0,0,0,0,0,0,0,0,7,89,847,2449,2536,2691,3127,4003,5558,6180
ag003,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,5
ag004,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,13,13
ag005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,18
ag010,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag012,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21
ag013,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag014,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,19,19
ag015,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8
ag016,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,37,37
ag017,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,38,38,38,38
ag018,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,18
ag019,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,6,6
ag020,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,34,34
ag021,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,40,40,40,40,67
ag023,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,9,9,9
ag025,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,23,23,23
ag027,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,26,26
ag028,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14
ag029,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,15,15
ag030,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,6
ag031,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,19
ag032,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,18,18,18
ag033,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,39,39,39
ag034,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,22,22,22
ag035,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,40,40,40,40
ag036,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag037,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,10,10,10
ag038,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,12,12,12
ag039,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15
ag040,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,16
ag042,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,35,35
ag043,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,13
ag044,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8
ag045,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,15
ag046,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,36,36,36,36
ag047,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,19,19,19
ag048,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11
ag049,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,17,17,17
ag050,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,10
ag051,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,20,20
ag052,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,19,19,19
ag053,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag054,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,25,25
ag055,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,22,45,45
ag056,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,36,36,36
ag058,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,40,40,40,40,64
ag059,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,23,23
ag060,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10,10
ag062,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,32,32,32
ag063,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,27,27,27
ag064,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,11,11
ag065,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,25,25
ag066,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,8,8,8
ag067,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,28,28
ag068,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,30,30
ag069,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,24,24
ag070,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,37,37
ag071,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,19,19,19
ag072,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,20,20
ag073,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16
ag074,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,24,24
ag075,0,0,0,0,0,0,0,0,0,0,0,0,0,27,33,33,33,33,33,63
ag076,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,20,20
ag077,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,18
ag078,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,22,22,22
ag080,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,23,23,23,23
ag081,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,12,12
ag082,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,35,35,35,54,54
ag083,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11
ag084,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,37,37
ag085,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,22,22,22,33
ag086,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,20,20
ag087,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,7,7,7
ag088,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag089,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,40,40,40,40
ag090,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,14,14
ag093,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,17,17
ag094,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,29,29
ag095,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,33,33
ag096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,43,43,43
ag098,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,41,41,41
ag099,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,12,12
ag100,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,21,21,21
ag101,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16
ag102,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,26,26,26
ag104,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,40,40,40,40,76
ag105,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,23,23
ag106,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,20,20
ag107,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,20,20
ag108,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,19,19
ag109,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,55,55,55
ag110,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag111,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,19,19
ag112,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11
ag113,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,25,25
ag114,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,39,39,39,39
ag117,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,9
ag118,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,22,22
ag119,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag120,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,13,13
ag122,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21
ag123,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15
ag124,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,21,21,21
ag125,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,31,31,31
ag126,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,15,15
ag127,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,18,18,18
ag128,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,21,21
ag129,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,25,25
ag130,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,20,20,20
ag131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,40,40
ag132,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,10,10,10
ag133,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11
ag134,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,46,46,46,46
ag136,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,20
ag137,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,24
ag139,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,36,36,36,36
ag140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3
ag141,0,0,0,0,0,0,0,0,0,0,0,0,27,27,27,27,52,52,52,79
ag142,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,20,20
ag143,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,26,26
ag144,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag145,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,47,47,47,47
ag147,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,24,52,52,52,82
ag148,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,30,30,30
ag149,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,20,20,20,20,38
ag151,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,22,22
ag152,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21,21,42,42,42
ag153,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,10,10
ag154,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag155,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8
ag156,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,22,22,22,22,40
ag157,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,38,38,38
ag159,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,34,34,34,34
ag160,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,39,39,39
ag161,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,18,18,18
ag162,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,13,13
ag163,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,8,8
ag164,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,15,15
ag165,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9
ag166,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,42,42,42,42,67
ag167,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,18,18,18
ag168,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,8,8,8
ag169,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14
ag170,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,23,23,23
ag171,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,6,6
ag172,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,17,17
ag173,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,22,22
ag174,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag175,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,28,28,28,28
ag176,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,15,15
ag177,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,15,15
ag178,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,11,11
ag179,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,18
ag180,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag181,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,42,42
ag182,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,11,11,11
ag183,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,20,20
ag184,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8,8
ag185,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,19,42,42,42
ag186,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag188,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,27,33
ag189,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,14,14,14,27
ag191,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,48,48,48,48,76
ag192,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,26,26
ag193,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,24,24
ag194,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,21,21,21
ag195,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,29,29
ag196,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,14,14
ag197,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,22,22
ag198,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,14,14,14
ag199,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,26,26
ag200,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,37,37,37
ag201,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,27,27
ag202,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,12
ag204,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19
ag205,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8,8
ag206,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,30,30
ag207,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,38,38,38
ag208,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,16,16
ag209,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,22,22,22
ag210,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,20
ag211,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,19,19
ag212,0,0,0,0,0,0,0,0,0,0,0,0,22,22,22,22,42,42,42,42
ag213,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,19
ag214,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,9,9,9
ag215,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,12,12
ag216,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,17,17
ag217,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,21,21
ag218,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,23,23
ag219,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,8,8
ag220,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,23,23,23
ag222,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,29,29,29
ag223,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag224,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9
ag225,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,21,21
ag226,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,21,21,21
ag227,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9
ag228,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,39,39,39,39,65
ag230,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,26,26
ag232,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,26,26
ag233,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14
ag235,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag236,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,26,26
ag237,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,10,10
ag238,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21
ag239,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,13,13
ag240,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,10,10,10
ag241,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,19
ag242,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,28,28,28
ag243,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,23,23
ag244,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19
ag245,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,7,7
ag246,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,35,35
ag247,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,12,12
ag248,0,0,0,0,0,0,0,0,0,0,0,0,0,24,24,24,46,46,46,46
ag250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,20
ag251,0,0,0,0,0,0,0,0,0,0,0,0,19,19,19,19,38,38,38,38
ag253,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,56,56,56
ag254,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,39,39,39,39
ag255,0,0,0,0,0,0,0,0,0,0,0,0,29,29,47,47,47,47,79,79
ag256,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,49,49,49,75
ag257,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,24,24
ag258,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,18,18
