"Start","Finish","GridLoad_MWh"
2013-01-01 00:00:00,2013-01-01 01:00:00,2409.93
2013-01-01 01:00:00,2013-01-01 02:00:00,2312.082
2013-01-01 02:00:00,2013-01-01 03:00:00,2213.021
2013-01-01 03:00:00,2013-01-01 04:00:00,2126.04
2013-01-01 04:00:00,2013-01-01 05:00:00,2084.576
2013-01-01 05:00:00,2013-01-01 06:00:00,2029.396
2013-01-01 06:00:00,2013-01-01 07:00:00,2087.958
2013-01-01 07:00:00,2013-01-01 08:00:00,2259.373
2013-01-01 08:00:00,2013-01-01 09:00:00,2442.148
2013-01-01 09:00:00,2013-01-01 10:00:00,2613.096
2013-01-01 10:00:00,2013-01-01 11:00:00,2716.725
2013-01-01 11:00:00,2013-01-01 12:00:00,2755.681
2013-01-01 12:00:00,2013-01-01 13:00:00,2795.423
2013-01-01 13:00:00,2013-01-01 14:00:00,2833.049
2013-01-01 14:00:00,2013-01-01 15:00:00,2796.97
2013-01-01 15:00:00,2013-01-01 16:00:00,2707.998
2013-01-01 16:00:00,2013-01-01 17:00:00,2650.514
2013-01-01 17:00:00,2013-01-01 18:00:00,2600.734
2013-01-01 18:00:00,2013-01-01 19:00:00,2545.006
2013-01-01 19:00:00,2013-01-01 20:00:00,2545.95
2013-01-01 20:00:00,2013-01-01 21:00:00,2537.355
2013-01-01 21:00:00,2013-01-01 22:00:00,2397.838
2013-01-01 22:00:00,2013-01-01 23:00:00,2220.292
2013-01-01 23:00:00,2013-01-02 00:00:00,2047.426
2013-01-02 00:00:00,2013-01-02 01:00:00,1901.854
2013-01-02 01:00:00,2013-01-02 02:00:00,1801.727
2013-01-02 02:00:00,2013-01-02 03:00:00,1709.769
2013-01-02 03:00:00,2013-01-02 04:00:00,1721.44
2013-01-02 04:00:00,2013-01-02 05:00:00,1710.131
2013-01-02 05:00:00,2013-01-02 06:00:00,1755.059
2013-01-02 06:00:00,2013-01-02 07:00:00,1913.162
2013-01-02 07:00:00,2013-01-02 08:00:00,2123.598
2013-01-02 08:00:00,2013-01-02 09:00:00,2316.141
2013-01-02 09:00:00,2013-01-02 10:00:00,2379.476
2013-01-02 10:00:00,2013-01-02 11:00:00,2389.915
2013-01-02 11:00:00,2013-01-02 12:00:00,2419.147
2013-01-02 12:00:00,2013-01-02 13:00:00,2475.194
2013-01-02 13:00:00,2013-01-02 14:00:00,2518.018
2013-01-02 14:00:00,2013-01-02 15:00:00,2553.825
2013-01-02 15:00:00,2013-01-02 16:00:00,2605.165
2013-01-02 16:00:00,2013-01-02 17:00:00,2618.053
2013-01-02 17:00:00,2013-01-02 18:00:00,2580.15
2013-01-02 18:00:00,2013-01-02 19:00:00,2461.306
2013-01-02 19:00:00,2013-01-02 20:00:00,2397.743
2013-01-02 20:00:00,2013-01-02 21:00:00,2364.78
2013-01-02 21:00:00,2013-01-02 22:00:00,2209.048
2013-01-02 22:00:00,2013-01-02 23:00:00,2073.09
2013-01-02 23:00:00,2013-01-03 00:00:00,1921.21
2013-01-03 00:00:00,2013-01-03 01:00:00,1828.047
2013-01-03 01:00:00,2013-01-03 02:00:00,1756.993
2013-01-03 02:00:00,2013-01-03 03:00:00,1732.78
2013-01-03 03:00:00,2013-01-03 04:00:00,1719.835
2013-01-03 04:00:00,2013-01-03 05:00:00,1711.351
2013-01-03 05:00:00,2013-01-03 06:00:00,1764.628
2013-01-03 06:00:00,2013-01-03 07:00:00,1930.155
2013-01-03 07:00:00,2013-01-03 08:00:00,2132.049
2013-01-03 08:00:00,2013-01-03 09:00:00,2283.644
2013-01-03 09:00:00,2013-01-03 10:00:00,2335.571
2013-01-03 10:00:00,2013-01-03 11:00:00,2322.808
2013-01-03 11:00:00,2013-01-03 12:00:00,2354.465
2013-01-03 12:00:00,2013-01-03 13:00:00,2363.239
2013-01-03 13:00:00,2013-01-03 14:00:00,2398.904
2013-01-03 14:00:00,2013-01-03 15:00:00,2405.559
2013-01-03 15:00:00,2013-01-03 16:00:00,2363.456
2013-01-03 16:00:00,2013-01-03 17:00:00,2363.092
2013-01-03 17:00:00,2013-01-03 18:00:00,2362.795
2013-01-03 18:00:00,2013-01-03 19:00:00,2330.225
2013-01-03 19:00:00,2013-01-03 20:00:00,2316.098
2013-01-03 20:00:00,2013-01-03 21:00:00,2285.841
2013-01-03 21:00:00,2013-01-03 22:00:00,2117.697
2013-01-03 22:00:00,2013-01-03 23:00:00,1938.502
2013-01-03 23:00:00,2013-01-04 00:00:00,1782.813
2013-01-04 00:00:00,2013-01-04 01:00:00,1664.838
2013-01-04 01:00:00,2013-01-04 02:00:00,1603.232
2013-01-04 02:00:00,2013-01-04 03:00:00,1582.98
2013-01-04 03:00:00,2013-01-04 04:00:00,1592.715
2013-01-04 04:00:00,2013-01-04 05:00:00,1606.601
2013-01-04 05:00:00,2013-01-04 06:00:00,1650.189
2013-01-04 06:00:00,2013-01-04 07:00:00,1770.062
2013-01-04 07:00:00,2013-01-04 08:00:00,1975.435
2013-01-04 08:00:00,2013-01-04 09:00:00,2116.767
2013-01-04 09:00:00,2013-01-04 10:00:00,2153.135
2013-01-04 10:00:00,2013-01-04 11:00:00,2127.444
2013-01-04 11:00:00,2013-01-04 12:00:00,2134.439
2013-01-04 12:00:00,2013-01-04 13:00:00,2146.057
2013-01-04 13:00:00,2013-01-04 14:00:00,2125.128
2013-01-04 14:00:00,2013-01-04 15:00:00,2118.204
2013-01-04 15:00:00,2013-01-04 16:00:00,2177.042
2013-01-04 16:00:00,2013-01-04 17:00:00,2213.848
2013-01-04 17:00:00,2013-01-04 18:00:00,2223.7
2013-01-04 18:00:00,2013-01-04 19:00:00,2158.583
2013-01-04 19:00:00,2013-01-04 20:00:00,2150.494
2013-01-04 20:00:00,2013-01-04 21:00:00,2144.865
2013-01-04 21:00:00,2013-01-04 22:00:00,2005.424
2013-01-04 22:00:00,2013-01-04 23:00:00,1871.352
2013-01-04 23:00:00,2013-01-05 00:00:00,1756.884
2013-01-05 00:00:00,2013-01-05 01:00:00,1644.802
2013-01-05 01:00:00,2013-01-05 02:00:00,1600.294
2013-01-05 02:00:00,2013-01-05 03:00:00,1573.405
2013-01-05 03:00:00,2013-01-05 04:00:00,1558.164
2013-01-05 04:00:00,2013-01-05 05:00:00,1567.948
2013-01-05 05:00:00,2013-01-05 06:00:00,1563.555
2013-01-05 06:00:00,2013-01-05 07:00:00,1617.211
2013-01-05 07:00:00,2013-01-05 08:00:00,1738.225
2013-01-05 08:00:00,2013-01-05 09:00:00,1861.976
2013-01-05 09:00:00,2013-01-05 10:00:00,1956.65
2013-01-05 10:00:00,2013-01-05 11:00:00,2047.305
