"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",271.5,304,311,311.5,313.5,314.5,317.5,552.5,759,1067.5,1182,1225.5
"ag003",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5
"ag004",1,1,1,1,1,1,1,1,1,1,3,3
"ag005",1,1,1,1,1,1,1,1,1,1,1,3.5
"ag010",0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5
"ag012",2,2,2,2,2,2,2,2,2,5.5,5.5,5.5
"ag013",0,1,1,1,1,1,1,1,1,3,3,3
"ag014",1,1,1,1,1,1,1,1,4,4,4,4
"ag015",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5
"ag016",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7
"ag017",2,2,2,2,2,2,2,8,8,8,8,8
"ag018",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3,3,3
"ag019",0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2,2,2
"ag020",1,1,1,1,1,1,1,1,5.5,5.5,5.5,5.5
"ag021",0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,10.5,10.5,10.5
"ag023",1,1,1,1,1,1,1,3,3,3,3,3
"ag025",1,1,1,1,1,1,1,1,7.5,7.5,7.5,7.5
"ag027",0,1,1,1,1,1,1,1,1,1,6,6
"ag028",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag029",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag030",0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2
"ag031",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag032",0.5,0.5,0.5,0.5,0.5,0.5,0.5,3.5,3.5,3.5,3.5,3.5
"ag033",1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7,7
"ag034",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag035",2,2,2,2,2,2,2,2,7.5,7.5,7.5,7.5
"ag036",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag037",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5
"ag038",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag039",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5
"ag040",1,1,1,1,1,1,1,1,1,1,3,3
"ag042",1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6,6,6
"ag043",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag044",0,1,1,1,1,1,1,1,1,1,1,4
"ag045",0,1,1,1,1,1,1,1,1,1,1,4.5
"ag046",2.5,2.5,2.5,2.5,2.5,2.5,2.5,7.5,7.5,7.5,7.5,7.5
"ag047",1,1,1,1,1,1,1,4,4,4,4,4
"ag048",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,4,4
"ag049",1,1,1,1,1,1,1,1,4,4,4,4
"ag050",0,0,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag051",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag052",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5,5
"ag053",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag054",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5
"ag055",2,2,2,2,2,2,2,2,7.5,7.5,7.5,7.5
"ag056",2,2,2,2,2,2,2,2,9,9,9,9
"ag058",2,2,2,2,2,2,2,7,7,7,7,7
"ag059",1,1,1,1,1,1,1,4,4,4,4,4
"ag060",1,1,1,1,1,1,1,1,2.5,2.5,2.5,2.5
"ag062",4.5,4.5,4.5,4.5,4.5,4.5,4.5,7.5,7.5,7.5,7.5,7.5
"ag063",0,2,2,2,2,2,2,2,2,2,2,9
"ag064",0,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag065",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag066",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,3,3
"ag067",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag068",0,1,1,1,1,1,1,1,1,1,6,6
"ag069",2,2,2,2,2,2,2,2,2,6,6,6
"ag070",2,2,2,2,2,2,2,2,2,7,7,7
"ag071",1,1,1,1,1,1,1,4,4,4,4,4
"ag072",0,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag073",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag074",1,1,1,1,1,1,1,1,1,1,4.5,4.5
"ag075",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7.5,7.5,7.5,7.5
"ag076",1,1,1,1,1,1,1,1,1,1,1,5
"ag077",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag078",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4.5,4.5,4.5
"ag080",2,2,2,2,2,2,2,5.5,5.5,5.5,5.5,5.5
"ag081",0,0,0,0,0,0,1,1,1,1,1,1
"ag082",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8
"ag083",0,0,0,0,0,0,1,1,1,1,1,1
"ag084",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8
"ag085",0,1,1,1,1,1,1,1,1,5,5,5
"ag086",1,1,1,1,1,1,1,1,1,4,4,4
"ag087",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag088",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5,2.5
"ag089",2,2,2,2,2,2,2,2,2,7.5,7.5,7.5
"ag090",1,1,1,1,1,1,1,1,1,3,3,3
"ag093",1,1,1,1,1,1,1,4,4,4,4,4
"ag094",1,1,1,1,1,1,1,5,5,5,5,5
"ag095",1,1,1,1,1,1,1,1,1,6,6,6
"ag096",1.5,1.5,1.5,1.5,1.5,1.5,1.5,8,8,8,8,8
"ag098",2,2,2,2,2,2,2,2,2,7.5,7.5,7.5
"ag099",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag100",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6,6
"ag101",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag102",2,2,2,2,2,2,2,7,7,7,7,7
"ag104",2,2,2,2,2,2,2,10.5,10.5,10.5,10.5,10.5
"ag105",1,1,1,1,1,1,1,1,1,5,5,5
"ag106",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag107",2,2,2,2,2,2,2,2,2,5.5,5.5,5.5
"ag108",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag109",3,3,3,3,3,3,3,3,12.5,12.5,12.5,12.5
"ag110",1,1,1,1,1,1,1,1,1,4,4,4
"ag111",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag112",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4.5,4.5,4.5,4.5
"ag113",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag114",2.5,2.5,2.5,2.5,2.5,2.5,2.5,7,7,7,7,7
"ag117",0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5
"ag118",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag119",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5
"ag120",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag122",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,6,6
"ag123",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag124",1,1,1,1,1,1,1,1,1,4,4,4
"ag125",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5,5.5
"ag126",1,1,1,1,1,1,1,1,1,3,3,3
"ag127",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4
"ag128",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,6,6,6,6
"ag129",1,1,1,1,1,1,1,5.5,5.5,5.5,5.5,5.5
"ag130",1,1,1,1,1,1,1,1,1,1,4,4
"ag131",2,2,2,2,2,2,2,8.5,8.5,8.5,8.5,8.5
"ag132",1,1,1,1,1,1,1,1,1,1,4,4
"ag133",1,1,1,1,1,1,1,1,4.5,4.5,4.5,4.5
