"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,0.000651754297794241,0.000651744197607246,0.000651734509533976,0.000651735855943465,0.000651737202352953,0.000651738548762442,0.000651739895171931,0.000651369840525181,0.000549859409132925,0.000445158685390293,0.000303151116529545,0.000253789024316115
2,0.000556344351840772,0.000556344692811898,0.000556345033783025,0.000556345374754152,0.000556345715725278,0.000556346056696405,0.000556346397667531,0.000556166662010306,0.000471913700230259,0.000393140946240983,0.000270897810331176,0.000223401872392775
3,0.000502782886426751,0.00050275748819925,0.000502758020948749,0.000502758553698247,0.000502759086447745,0.000502759619197243,0.000502760151946742,0.000502580608067887,0.000437899823131534,0.000373314693201178,0.000264828532147554,0.000231181340334024
4,0.000446994714137513,0.00044699540010469,0.000446996086071867,0.000446996772039043,0.00044699745800622,0.000446998143973397,0.000446998829940574,0.00044671215991132,0.000401504892172063,0.000340359077734536,0.00024778375176322,0.00020921091512241
5,0.000402649856948351,0.000402650236638386,0.000402650616328421,0.000402650996018456,0.000402651375708491,0.000402651755398526,0.00040265213508856,0.000402390839661107,0.00036020532191635,0.000307365972853025,0.00022100601709598,0.000190724666555927
6,0.000412072092721248,0.000412061247841183,0.000412061989110282,0.00041206273037938,0.000412063471648478,0.000412064212917576,0.000412064954186675,0.000411789833964144,0.000363106951597323,0.000300353271885994,0.000216621322672081,0.000188069885730562
7,0.00038537828652168,0.000383696717753271,0.00038353366636558,0.000383693862128113,0.000383771305225417,0.000383872243714271,0.000383914280464506,0.000370137702695711,0.000322526641911861,0.000255013314340469,0.00018486971042318,0.000173533153972926
8,0.00032107383424966,0.000309545960046491,0.000308016133601666,0.00030896201696931,0.000309547112560947,0.000310354568358534,0.000310724260130796,0.000268627194027498,0.000211577691208401,0.000149014554306236,0.000113675053171366,9.99183937315284e-05
9,0.00022774800800564,0.000202083904995906,0.000197593997693237,0.000199923291277828,0.00020166414916268,0.000203443584594688,0.000205154054509454,0.00015315416975006,0.000117618576175893,6.51111531803987e-05,3.59791673751315e-05,2.59665190295977e-05
10,0.000154447099245834,0.000107943710829546,0.000100918683744542,0.000104743880627637,0.000105682611689682,0.000109315666462248,0.000111613523298137,6.05929104683272e-05,3.80424095864828e-05,-9.72043324904427e-07,-4.61580336446839e-05,-6.45629128882552e-05
11,0.000107199687109218,4.19503641949075e-05,3.29746806684456e-05,3.79018733307325e-05,4.01111679117094e-05,4.50624979379227e-05,4.69661424757007e-05,-3.49109375799857e-05,-0.000102254921749849,-0.00021932035608753,-0.000312923298811638,-0.000346423671440725
12,0.000136154801144302,6.05111361367743e-05,4.94515128748917e-05,5.5053801328675e-05,5.75379838482313e-05,6.22939972232163e-05,6.45820314928732e-05,-9.24884827395041e-05,-0.000357358107428073,-0.000555143736305026,-0.0007736717987807,-0.000845967833115173
13,0.000232579223470693,0.000152934757894382,0.000140799335950085,0.000146580632083843,0.000148968590884787,0.00015334274594636,0.000155997963144541,-0.000189963110535902,-0.000643085855836923,-0.00105336635331949,-0.00144692756914886,-0.00155979371657785
14,0.000268175699333155,0.00019251217985353,0.000180981848304841,0.000186451071411722,0.000189302054183616,0.000192103175494782,0.000190230671147844,-0.000316396401006715,-0.000866747699076468,-0.00150662347526795,-0.00183936539654501,-0.00193236683242152
15,0.000377081017322078,0.000310398376404998,0.000299959177759657,0.000304893379737528,0.000308362535080669,0.000313803932595575,0.00031558106221841,-0.000241932702906907,-0.00077878203672806,-0.00149968221138421,-0.00176463743222695,-0.00183028585254008
16,0.00050769375090666,0.000452170539661522,0.000442951868443966,0.000446958169379296,0.00044995169811863,0.00045343198031875,0.00045340799887778,-5.74047813130177e-05,-0.000505018265550398,-0.00116176308412659,-0.0013669380276997,-0.00143793571528776
17,0.000574849278576256,0.0005324394841153,0.000525166036969201,0.000528283599313802,0.000530685135735982,0.000533471209860619,0.000532991402687041,0.000114526822558578,-0.000238065286354856,-0.000741713058727537,-0.000900494357794519,-0.000956860114926358
18,0.0008174808197686,0.000790663826580825,0.000786601748981047,0.000788592815453791,0.000789527715863836,0.000791375447213746,0.000789967671202523,0.000454565280385706,0.000188771098938658,-0.000191602314769619,-0.000317993796542903,-0.000367726830163869
19,0.00096943761690641,0.000958783157591568,0.000957242968270422,0.000957826675249954,0.000958571370121814,0.000959303885845874,0.00095825621969839,0.000693805965790688,0.000462342151429434,0.00019036345586215,9.29430115951029e-05,6.56764040374326e-05
20,0.00103805282010947,0.00103638712562425,0.00103617094850535,0.00103624989481859,0.00103623401739587,0.00103522893868783,0.00103247267814797,0.000791083189358458,0.000586868210034386,0.000329731177457691,0.000252035933409619,0.000236233887120973
21,0.00105102985212386,0.00105101524559147,0.00105101629580463,0.00105101734601779,0.00105082682534973,0.00104938205469974,0.00104708808575581,0.000822563788698326,0.000658762173087507,0.000370418347099586,0.000301723544348856,0.000275562470073623
