"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,3.10329674485184e-07,3.29740851128967e-07,3.2708306225551e-07,3.24425273382052e-07,3.21767484508594e-07,3.19109695635136e-07,3.16451906761678e-07,5.15982299724178e-07,5.11707004774796e-07,6.38934030801904e-07,6.33606717124246e-07,6.28279403446588e-07
2,7.39738186805365e-08,7.33820274301921e-08,7.27902361798478e-08,7.21984449295035e-08,7.16066536791592e-08,7.10148624288148e-08,7.04230711784705e-08,2.01451584486206e-07,2.07319402807922e-07,2.05614547174737e-07,2.03909691541551e-07,2.02204835908366e-07
3,7.40739072878579e-08,1.12069077402301e-07,1.11167782018247e-07,1.10266486634193e-07,1.09365191250139e-07,1.08463895866085e-07,1.0756260048203e-07,1.21986944104957e-07,1.20963043356918e-07,2.06328293090535e-07,2.04613277582416e-07,2.02898262074297e-07
4,2.15439748228345e-07,2.13716224963239e-07,2.11992701698134e-07,2.10269178433029e-07,2.08545655167923e-07,2.06822131902818e-07,2.05098608637712e-07,3.02028683661571e-07,2.99515929343543e-07,2.97003175025515e-07,2.94490420707487e-07,2.91977666389459e-07
5,1.07578401106192e-07,1.06717770360504e-07,1.05857139614816e-07,1.04996508869127e-07,1.04135878123439e-07,1.03275247377751e-07,1.02414616632063e-07,1.24853051366593e-07,1.23806027331063e-07,1.22759003295533e-07,1.21711979260003e-07,2.16450002198703e-07
6,2.06943405175067e-07,2.05287849702067e-07,2.03632294229067e-07,2.01976738756068e-07,2.00321183283068e-07,1.98665627810068e-07,1.97010072337069e-07,2.29621219785011e-07,3.73284692243182e-07,4.50649616791137e-07,4.46911497199062e-07,4.43173377606987e-07
7,4.09541425110822e-05,4.34206001229883e-05,4.34730964777646e-05,4.33659129237035e-05,4.30496494921717e-05,4.26941621536983e-05,4.2338674815225e-05,7.42377205571354e-05,7.91324757215543e-05,8.30667613110964e-05,8.56333342055711e-05,8.72227960379451e-05
8,0.000247589718419036,0.000266749087774131,0.000266704246740381,0.000265774230422967,0.000264010715743089,0.000261830824522006,0.000259650933300923,0.000463863092634017,0.000493899465152191,0.000521439089049179,0.000541330344027928,0.000549512617040879
9,0.000614798344841981,0.000659933944694829,0.00065985169214463,0.0006571702709496,0.000652967433028774,0.000647575810936546,0.000642184188844317,0.00115981939398301,0.00122702764125782,0.00129378051479272,0.00133775523714722,0.00135193491685257
10,0.00105661153393928,0.00114293823826841,0.00114549238798524,0.0011454789284003,0.00113825142240088,0.0011288545380774,0.00111945765375393,0.0019955562794944,0.00210477596987802,0.00223956691540615,0.00232498726246879,0.0023515626135949
