Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWh,0,0,0,0,0,0,0,3,46,112,152,164,220,1604,2139,2376,2472,2521,2569,4147
ag003,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,5,3
ag004,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,11
ag005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6
ag010,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,9,9,9
ag012,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,21
ag013,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag014,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag015,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,7,7,7
ag016,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,15,15,15,15,13
ag017,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,33
ag018,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag019,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,8
ag020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
ag021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,23,23,23,23,23
ag023,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
ag025,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,23
ag027,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,9,9,9,8
ag028,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,12
ag029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6
ag030,0,0,0,0,0,0,0,0,1,1,1,1,1,1,4,4,4,4,3,3
ag031,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag032,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag033,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,33
ag034,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,17
ag035,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,36
ag036,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag037,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,12
ag038,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13
ag039,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,13
ag040,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,14
ag043,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag044,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,8,8,8
ag045,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8
ag046,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,33
ag047,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16
ag048,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9
ag049,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag050,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,5
ag051,0,0,0,0,0,0,0,0,1,1,1,1,1,1,7,7,7,7,6,6
ag052,0,0,0,0,0,0,0,0,2,2,2,2,2,12,12,12,12,12,10,21
ag053,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,12,12,12,12,7
ag054,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,24
ag055,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,18,18,18,18,38
ag056,0,0,0,0,0,0,0,0,1,1,1,1,1,1,17,17,17,17,16,16
ag058,0,0,0,0,0,0,0,1,1,1,1,1,1,19,19,19,19,18,18,38
ag059,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,19
ag060,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6
ag062,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,26
ag063,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,14,14,14,13
ag064,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,8,8,8,8,10
ag065,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,21
ag066,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,7,7,7,7,5
ag067,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,25
ag068,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11,11,11,11,28
ag069,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,24
ag070,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,31
ag071,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag072,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,6,6,6,6,4
ag073,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag074,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,22
ag075,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25,25,52
ag076,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag077,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag078,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,20
ag080,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,22,22
ag081,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,12
ag082,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15,34
ag083,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10
ag084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,15,15,15
ag085,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7
ag086,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
ag087,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,6,6,6,5,5
ag088,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5
ag089,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,35
ag090,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10
ag093,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7
ag094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8
ag095,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,31
ag096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16
ag098,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,17,17,17,17,35
ag099,0,0,0,0,0,0,0,0,1,1,1,1,1,1,8,8,8,8,7,7
ag100,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8
ag101,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,14
ag102,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,12,12,12,12,11
ag104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,28,28,28,58
ag105,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,21
ag106,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15
ag107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9
ag108,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15
