Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWp,321.5,403,459,478,489.5,494.5,583,935,1138,1242,1290.5,1300,1314,1473.5,1574.5,1632.5,1661.5,1674.5,1696,2049
ag003,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag004,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag005,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag010,0,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
ag012,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,9.5
ag013,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag014,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag015,0,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5
ag016,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5
ag017,0,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5,5,12.5,12.5,12.5,12.5,12.5,12.5,18
ag018,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag019,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag020,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag021,0,0,2,2,2,2,2,2,5,5,5,5,5,5,13.5,13.5,13.5,13.5,13.5,13.5
ag023,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag025,0,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,14
ag027,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag028,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag029,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag030,0,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag031,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag032,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag033,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,13
ag034,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag035,3,3,3,3,3,3,3,5,5,5,5,5,5,10,10,10,10,10,10,14
ag036,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag037,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag038,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5
ag039,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag040,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag042,2,2,2,2,2,2,2,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5
ag043,0,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag044,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5
ag045,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5
ag046,3,3,3,3,3,3,3,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,13.5
ag047,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag048,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5
ag049,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.5
ag050,0,0,0,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5
ag051,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag052,0,0,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag053,0,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag054,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,10
ag055,3,3,3,3,3,3,3,5,5,5,5,5,5,9,9,9,9,9,9,13.5
ag056,0,3,3,3,3,3,3,3,5,5,5,5,5,5,12.5,12.5,12.5,12.5,12.5,12.5
ag058,4,4,4,4,4,4,4,5,5,5,5,5,5,10,10,10,10,10,10,16
ag059,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag060,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5
ag062,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10,10,10,10,15.5
ag063,0,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,13.5,13.5,13.5,13.5
ag064,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag065,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag066,0,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5
ag067,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,7.5
ag068,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,9
ag069,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5,10.5
ag070,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,8.5,8.5,8.5,8.5,8.5,8.5,12.5
ag071,0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,5,5,5,5,5,5
ag072,0,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5
ag073,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag074,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,10.5
ag075,2,2,2,2,2,2,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,13.5
ag076,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag077,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag078,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
ag080,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5
ag081,0,0,0,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5
ag082,5,5,5,5,5,5,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,10.5,10.5,18.5
ag083,0,0,0,0,0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,5,5,5,5,5,5,5
ag084,3,3,3,3,3,3,3,5,5,5,5,5,5,5,10.5,10.5,10.5,10.5,10.5,10.5
ag085,0,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5
ag086,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag087,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag088,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5
ag089,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,9,9,9,9,9,9,12.5
ag090,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag093,0,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5
ag094,0,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5
ag095,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,10.5
ag096,0,3,3,3,3,3,3,3,5,5,5,5,5,5,5,16,16,16,16,16
ag098,2.5,2.5,2.5,2.5,2.5,2.5,2.5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,9.5,12.5
ag099,0,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5
ag100,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag101,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag102,0,0,4,4,4,4,4,4,4,5,5,5,5,5,5,11,11,11,11,11
ag104,3,3,3,3,3,3,3,5,5,5,5,5,5,5,17,17,17,17,17,22
ag105,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,8.5
ag106,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,7
