"Year","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
"Total_kWh",0,0,0,0,0,0,0,0,0,0,0,0,0,18,25,128,579,2404,2591,2679
"ag003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
"ag004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"ag010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,11
"ag013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
"ag015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
"ag017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,21,21
"ag018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16
"ag021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27
"ag023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5
"ag025",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14
"ag027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17
"ag028",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag029",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5
"ag030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3
"ag031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4
"ag032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6
