"Interval","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037"
1,4.76598316091257e-07,5.08705068213577e-07,6.1407399877049e-07,6.09098101741195e-07,6.04122204711901e-07,5.99146307682607e-07,5.94170410653312e-07,5.89194513624018e-07,5.84218616594724e-07,5.7924271956543e-07,5.74266822536135e-07,5.69290925506841e-07,5.64315028477547e-07,5.59339131448253e-07,5.54363234418958e-07,5.49387337389664e-07,6.17623208672764e-07,8.94286463710399e-07,9.57495135510046e-07,9.49107519891903e-07
2,2.13106696524898e-07,2.11401840891713e-07,2.09696985258527e-07,2.07992129625342e-07,2.06287273992156e-07,2.0458241835897e-07,2.02877562725785e-07,2.01172707092599e-07,1.99467851459414e-07,1.97762995826228e-07,1.96058140193043e-07,1.94353284559857e-07,1.92648428926671e-07,1.90943573293486e-07,1.892387176603e-07,1.87533862027115e-07,1.85829006393929e-07,1.96895525347423e-07,1.95088498577583e-07,1.93281471807744e-07
3,8.93995462948384e-08,8.86843483382611e-08,2.07472619818235e-07,2.0580139194011e-07,2.04130164061986e-07,2.02458936183861e-07,2.00787708305737e-07,1.99116480427613e-07,1.97445252549488e-07,1.95774024671364e-07,1.94102796793239e-07,1.92431568915115e-07,1.9076034103699e-07,1.89089113158866e-07,1.87417885280742e-07,1.85746657402617e-07,1.84075429524493e-07,2.91143238701733e-07,3.01373465329378e-07,2.98730152065375e-07
4,3.14093346517309e-07,3.11580592199281e-07,3.09067837881253e-07,3.06555083563225e-07,3.04042329245197e-07,3.01529574927169e-07,2.9901682060914e-07,2.96504066291112e-07,2.93991311973084e-07,2.91478557655056e-07,2.88965803337028e-07,2.86453049019e-07,2.83940294700972e-07,2.81427540382943e-07,2.78914786064915e-07,2.76402031746887e-07,2.73889277428859e-07,4.17666546633731e-07,4.13983468386758e-07,4.10300390139785e-07
5,1.3087746658641e-07,1.2983044255088e-07,1.2878341851535e-07,1.27736394479821e-07,1.26689370444291e-07,1.25642346408761e-07,1.24595322373231e-07,1.23548298337702e-07,1.22501274302172e-07,1.21454250266642e-07,1.20407226231112e-07,1.19360202195582e-07,1.18313178160053e-07,1.17266154124523e-07,1.16219130088993e-07,1.15172106053463e-07,2.41838477983573e-07,3.79564135462813e-07,3.76377040321695e-07,3.73189945180577e-07
6,3.10175268438212e-07,3.84321856416249e-07,3.81227414985093e-07,3.78132973553938e-07,3.75038532122782e-07,3.71944090691627e-07,3.68849649260471e-07,3.65755207829316e-07,3.62660766398161e-07,3.59566324967005e-07,3.5647188353585e-07,3.53377442104694e-07,3.50283000673539e-07,3.47188559242384e-07,3.44094117811228e-07,4.55941627778803e-07,4.51927646117762e-07,4.83280418733254e-07,4.78983501616864e-07,4.74686584500474e-07
7,6.61159298100319e-05,7.84462345794954e-05,8.55142466878445e-05,8.52898983733596e-05,8.47224506568116e-05,8.40242565837913e-05,8.33260625107713e-05,8.26278684377512e-05,8.19296743647311e-05,8.1231480291711e-05,8.0533286218691e-05,7.98350921456709e-05,7.91368980726509e-05,7.88462250915131e-05,7.81447708304053e-05,7.88679193846123e-05,8.27011766717022e-05,0.000110054554568273,0.000116237719537215,0.000117060110971939
8,0.000422796597311797,0.000492908348455212,0.000541553848102159,0.000539675030248782,0.000536640554727593,0.000532218157402386,0.000527795760077179,0.000523373362751973,0.000518950965426766,0.000514528568101559,0.000510106170776353,0.000505683773451146,0.000501261376125939,0.000499190060233864,0.000494748854131227,0.000497913299324306,0.000521225212608611,0.000691607458883802,0.000717263839102808,0.000723232682849203
9,0.00106897475793871,0.00123645670348176,0.00133489734280214,0.0013360459779951,0.00132905397687205,0.00131809936184434,0.00130714474681662,0.00129619013178891,0.00128523551676119,0.00127428090173348,0.00126332628670576,0.00125237167167805,0.00124141705665033,0.00123497651388039,0.00122398578600001,0.0012267149228376,0.00129067028922688,0.00171744995749286,0.00176435426413559,0.0017767438787806
10,0.00182529807041712,0.00211012185107461,0.00229547604424634,0.00230105156969109,0.0022894151297306,0.00227054742868991,0.00225167972764921,0.00223281202660851,0.00221394432556782,0.00219507662452712,0.00217620892348643,0.00215734122244573,0.00213847352140503,0.00213057751424218,0.00211162203890682,0.00212998233865746,0.00224703275530981,0.00297142804899479,0.00305314633019188,0.00307854088729079
