Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWh,0,0,0,0,0,0,29,482,757,936,1026,1426,2362,2723,3068,3290,3802,4521,4723,5030
ag003,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,5,5,5,5,3
ag004,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,11,11,11
ag005,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,6,13
ag010,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10
ag012,0,0,0,0,0,0,1,1,1,1,1,10,10,10,10,10,9,21,21,21
ag013,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,6,6
ag014,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,17,13,13,13
ag015,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7
ag016,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,21,21,21,21,15
ag017,0,0,0,0,0,0,0,2,2,2,2,2,2,20,20,20,20,18,18,40
ag018,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,11,13,13
ag019,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4,9,9
ag020,0,0,0,0,0,0,0,3,3,3,3,3,11,11,11,11,11,8,28,28
ag021,0,0,0,0,0,0,0,0,4,4,4,4,4,4,29,29,29,29,25,25
ag023,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,11,11,11
ag025,0,0,0,0,0,0,0,3,3,3,3,3,14,14,14,14,14,11,26,26
ag027,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,20,20,20,20,15
ag028,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11,11,11
ag029,0,0,0,0,0,0,0,0,3,3,3,3,3,8,8,8,8,8,11,11
ag030,0,0,0,0,0,0,0,0,2,2,2,2,2,5,5,5,5,5,7,7
ag031,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,6,12
ag032,0,0,0,0,0,0,0,0,5,5,5,5,5,12,12,12,12,12,15,15
ag033,0,0,0,0,0,0,1,1,1,1,1,17,17,17,17,17,33,33,33,33
ag034,0,0,0,0,0,0,0,3,3,3,3,3,10,10,10,10,10,18,18,18
ag035,0,0,0,0,0,0,0,4,4,4,4,4,4,23,23,23,23,19,19,41
ag036,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,11,11
ag037,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,11,11,11
ag038,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7,14,14
ag039,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10,6,13,13
ag040,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9,11,11
ag042,0,0,0,0,0,0,0,3,3,3,3,3,17,17,17,17,17,29,29,29
ag043,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,5,5,11
ag044,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,10,10,10,10
ag045,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,10,10,10,10
ag046,0,0,0,0,0,0,0,2,2,2,2,2,19,19,19,19,19,17,35,35
ag047,0,0,0,0,0,0,0,3,3,3,3,3,10,10,10,10,10,17,17,17
ag048,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,11
ag049,0,0,0,0,0,0,2,2,2,2,2,9,9,9,9,9,15,15,15,15
ag050,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,11,11,11,6
ag051,0,0,0,0,0,0,0,0,4,4,4,4,4,4,11,11,11,11,7,17
ag052,0,0,0,0,0,0,0,0,8,8,8,8,8,8,19,19,19,19,21,21
