"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,3.10329674485184e-07,3.29740851128967e-07,3.2708306225551e-07,3.24425273382052e-07,3.21767484508594e-07,3.19109695635136e-07,3.16451906761678e-07,5.15982299724178e-07,5.55634065762232e-07,6.3858261415354e-07,6.33255300475882e-07,6.27927986798224e-07
2,7.39738186805365e-08,7.33820274301921e-08,7.27902361798478e-08,7.21984449295035e-08,7.16066536791592e-08,7.10148624288148e-08,7.04230711784705e-08,2.01451584486206e-07,2.07319402807922e-07,2.05614547174737e-07,2.03909691541551e-07,2.02204835908366e-07
3,7.40739072878579e-08,1.12069077402301e-07,1.11167782018247e-07,1.10266486634193e-07,1.09365191250139e-07,1.08463895866085e-07,1.0756260048203e-07,1.6030103287488e-07,1.58970618716879e-07,2.44485475353213e-07,2.42460297465966e-07,2.40435119578719e-07
4,2.15439748228345e-07,2.13716224963239e-07,2.11992701698134e-07,2.10269178433029e-07,2.08545655167923e-07,2.06822131902818e-07,2.05098608637712e-07,3.54275120634036e-07,3.51344393484242e-07,3.48413666334448e-07,3.45482939184654e-07,3.42552212034859e-07
5,1.07578401106192e-07,1.06717770360504e-07,1.05857139614816e-07,1.04996508869127e-07,1.04135878123439e-07,1.03275247377751e-07,1.02414616632063e-07,1.24853051366593e-07,1.23806027331063e-07,2.07901267272626e-07,2.0617310232607e-07,2.04444937379515e-07
6,2.06943405175067e-07,2.05287849702067e-07,2.03632294229067e-07,2.01976738756068e-07,2.00321183283068e-07,1.98665627810068e-07,1.97010072337069e-07,2.98586390624249e-07,4.41698138944489e-07,4.38051973375402e-07,4.34405807806316e-07,4.30759642237229e-07
7,4.09541425110822e-05,4.34206001229883e-05,4.34730964777646e-05,4.33659129237035e-05,4.30496494921717e-05,4.26941621536983e-05,4.2338674815225e-05,7.7920694240846e-05,8.53311971432887e-05,8.98491738509325e-05,9.03745886859717e-05,8.9615170746861e-05
8,0.000247589718419036,0.000266749087774131,0.000266704246740381,0.000265774230422967,0.000264010715743089,0.000261830824522006,0.000259650933300923,0.000483828016182146,0.000527976734046711,0.00056104323704975,0.000566794200998712,0.00056203537081018
9,0.000614798344841981,0.000659933944694829,0.00065985169214463,0.0006571702709496,0.000652967433028774,0.000647575810936546,0.000642184188844317,0.00120860076821741,0.00131170613478852,0.00138442540751925,0.00139686024053286,0.00138512901902609
10,0.00105661153393928,0.00114293823826841,0.00114549238798524,0.0011454789284003,0.00113825142240088,0.0011288545380774,0.00111945765375393,0.00208456716301922,0.00226891477828366,0.00240916981827869,0.00243488483863758,0.0024144406587888
11,0.00139488057505372,0.0015130736271665,0.00151915646824758,0.00151858175932292,0.00150929037243636,0.00149683091159847,0.00148437145076058,0.00275361734645506,0.00301508986740376,0.0032087938442675,0.0032504662708292,0.00322318274755195
12,0.00160650201865758,0.00174492992244565,0.00175163659643358,0.00175110160994694,0.00174033746236392,0.00172597076531499,0.00171160406826606,0.00317028206808285,0.00347784123218206,0.00370737087632736,0.0037591802614146,0.00372763096644254
13,0.00167897616182855,0.00182609476988244,0.0018328878044543,0.00183198188616904,0.00182083389649223,0.00180580276027463,0.00179077162405703,0.00331270132529429,0.00363693135870606,0.00387817268586372,0.00393768224536962,0.00390463715814777
14,0.00162194398884809,0.00176176149893075,0.00176878922638023,0.00176328775238134,0.00175247976545135,0.00173801190860394,0.00172354405175653,0.00320430544190269,0.00351827330340491,0.0037374971310867,0.0037969498476218,0.00376508500734963
15,0.00147228194612573,0.00159622186532817,0.00160215543797761,0.00159509707936457,0.00158465397489962,0.00157157081821876,0.0015584876615379,0.00288920683553441,0.0031736414253333,0.00336320044627274,0.00341456435015133,0.00338590242885857
16,0.0012096701528137,0.00131200699948466,0.00131724207377714,0.00131232959318782,0.00130465128194443,0.00129388034096561,0.00128310939998679,0.00237512681919381,0.00262013787194234,0.0027752059876927,0.00283176130417686,0.00280799937499582
17,0.000955580917858614,0.0010351003762339,0.00103869523445339,0.00103592023553754,0.00102977508125476,0.00102127349610043,0.0010127719109461,0.0018591858370051,0.00205979944887985,0.00217448779509732,0.00222521107363265,0.00220653755229984
18,0.000604571032080684,0.000652025532961152,0.00065277658133554,0.000651901217306861,0.000648002518722449,0.000642652549660619,0.000637302580598789,0.00116959720237498,0.00129420132412638,0.00135871032876831,0.00139730495005785,0.00138557843340969
19,0.000247823214944987,0.000267874110883662,0.000268247295561388,0.000268420960028278,0.000266710889648703,0.000264509016996629,0.000262307144344556,0.000480485313757734,0.000532786829743765,0.000557955951293117,0.000575660303489604,0.000570829692702918
20,4.10478491789314e-05,4.41856237063237e-05,4.42770598032469e-05,4.41227924353731e-05,4.37794096126354e-05,4.34179236532524e-05,4.30564376938695e-05,8.00500015188743e-05,8.75959106969701e-05,9.10174867380768e-05,9.45129727109923e-05,9.3719771237864e-05
21,2.82628340223484e-07,2.80367271852882e-07,2.7810620348228e-07,2.75845135111679e-07,2.73584066741077e-07,2.71322998370475e-07,2.69061929999873e-07,4.00872980190418e-07,4.51903006970836e-07,4.48134424324634e-07,4.44365841678431e-07,4.40597259032228e-07
22,1.02255457370455e-07,1.01437397931706e-07,1.00619338492957e-07,9.98012790542077e-08,9.89832196154586e-08,9.81651601767095e-08,9.73471007379604e-08,1.36430239411195e-07,2.27245223691649e-07,2.25372316301501e-07,2.23499408911352e-07,2.21626501521203e-07
23,1.52352099355462e-07,1.51133257795849e-07,1.49914416236237e-07,1.48695574676624e-07,1.47476733117012e-07,1.462578915574e-07,1.45039049997787e-07,3.03384225838554e-07,3.69852977710268e-07,3.66805873811237e-07,3.63758769912206e-07,3.60711666013175e-07
24,2.07702309730021e-07,2.06040656005487e-07,2.38184918286152e-07,2.36252811552829e-07,2.34320704819505e-07,2.32388598086181e-07,2.30456491352857e-07,3.56930491603869e-07,4.32851584870957e-07,4.29261150438738e-07,4.25670716006518e-07,4.22080281574299e-07
25,1.25026161858829e-07,1.24025930627361e-07,1.23025699395892e-07,1.22025468164424e-07,1.21025236932955e-07,1.20025005701486e-07,1.19024774470018e-07,2.92758522219256e-07,2.90360388462095e-07,2.87962254704935e-07,2.85564120947775e-07,2.83165987190615e-07
26,1.26095804891001e-07,1.46980320309513e-07,1.45796380066749e-07,1.44612439823985e-07,1.43428499581221e-07,1.42244559338458e-07,1.41060619095694e-07,2.55943431142467e-07,3.07469533165704e-07,3.92501139384006e-07,3.89258922957206e-07,3.86016706530405e-07
27,1.26916667085666e-07,1.25901309218381e-07,1.24885951351096e-07,1.23870593483811e-07,1.22855235616527e-07,1.21839877749242e-07,1.20824519881957e-07,2.46822411874528e-07,2.90766843219732e-07,2.88367538670326e-07,2.8596823412092e-07,2.83568929571514e-07
28,1.86496909409903e-07,1.85004896913175e-07,1.83512884416447e-07,1.82020871919719e-07,1.8052885942299e-07,1.79036846926262e-07,1.77544834429534e-07,3.27202245573568e-07,3.68426985478139e-07,3.65374330880413e-07,3.62321676282688e-07,3.59269021684963e-07
29,9.14077847211984e-08,1.47019413743793e-07,1.45837377418024e-07,1.44655341092256e-07,1.43473304766488e-07,1.42291268440719e-07,1.41109232114951e-07,1.76462420193384e-07,1.7498809446485e-07,2.29856679070029e-07,2.27931598326845e-07,2.26006517583661e-07
30,3.83131440368096e-08,3.80066306268479e-08,3.77001172168862e-08,3.73936038069245e-08,3.70870903969629e-08,3.67805769870012e-08,3.64740635770395e-08,7.44806942038874e-08,7.3867667383964e-08,7.32546405640407e-08,7.26416137441173e-08,7.20285869241939e-08
31,3.69690287877375e-05,3.9187032275501e-05,3.92171060571779e-05,3.89936240595226e-05,3.86742240304433e-05,3.83548240013639e-05,3.80354239722845e-05,7.19648528236024e-05,7.84735884059846e-05,8.26182141632587e-05,8.26647643597225e-05,8.19703064515806e-05
32,0.000196351232742268,0.000209966265346386,0.00021013773861272,0.000209592281466278,0.000208043350191831,0.000206325458188049,0.000204607566184266,0.000377434820467908,0.00041060174265902,0.000435454029140126,0.000438052954673627,0.000434372504631782
33,0.000460488709878159,0.000492249913597552,0.000493282553310684,0.000492851916030014,0.000489378430968698,0.000485337721136075,0.000481297011303452,0.00090077346695229,0.000981927545584619,0.00103189979041952,0.00103719409604172,0.00102848039323558
34,0.000672761937596178,0.00072559940419256,0.000728838130351978,0.000727174564016501,0.000721650799871926,0.00071569256602715,0.000709734332182376,0.00132086319714084,0.0014504322186808,0.00153051378433207,0.0015373144690627,0.00152440236049382
35,0.000845145672618398,0.000914113005777206,0.000919609738450971,0.000918760799499992,0.000912845036896937,0.000905309065933213,0.000897773094969489,0.00166257069308187,0.00182636364692823,0.00192403407433904,0.00194378599892294,0.0019274622644806
36,0.00103048847220519,0.00111727076740758,0.00112299430448637,0.00112433821644571,0.00111683537777071,0.00110761578359242,0.00109839618941413,0.00203527576224028,0.00223590029407957,0.00236166569212866,0.00239537768600212,0.00237526814047215
