"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,0.000651590053467277,0.000651570642290633,0.000651573300079507,0.00065157595786838,0.000651578615657254,0.000651581273446127,0.000651583931235001,0.000651384400842038,0.000370148910786092,0.000323589183076525,0.000292251460508951,0.000289898309190828
2,0.000556312999361396,0.000556313591152646,0.000556314182943897,0.000556314774735147,0.000556315366526397,0.000556315958317648,0.000556316550108898,0.00055618552159559,0.00032635157500634,0.000283296920403252,0.000257146986426328,0.000249109896441582
3,0.000502749680881984,0.00050271168571187,0.000502712587007254,0.000502713488302638,0.000502714389598022,0.000502715290893406,0.00050271619218879,0.000502663453756397,0.000302284911190561,0.000265698854098985,0.00023868221168531,0.000212263074256285
4,0.000446865020021887,0.000446866743545152,0.000446868467068417,0.000446870190591682,0.000446871914114947,0.000446873637638212,0.000446875361161477,0.000446726184649481,0.000275671390065729,0.000239666564602781,0.000221480782264125,0.000209905523536399
5,0.000402589739606557,0.000402590600237302,0.000402591460868048,0.000402592321498794,0.000402593182129539,0.000402594042760285,0.000402594903391031,0.000402572464956296,0.000244735836630887,0.000216954781770287,0.000203913588694787,0.000209289977403517
6,0.000411946313299806,0.000411947968855279,0.000411949624410752,0.000411951279966225,0.000411952935521698,0.000411954591077171,0.000411956246632644,0.000411854670314357,0.000250057771982479,0.000240228696043205,0.000221770306417069,0.000221055651376548
7,0.000363689535649837,0.000361223078037931,0.000361170581683155,0.000361277765237216,0.000361594028668748,0.000361949516007221,0.000362305003345695,0.000336598596356286,0.000216406114401048,0.000205671487060285,0.00019679285738467,0.000198220531133612
8,0.000188460090010083,0.000169300720654988,0.000169345561688738,0.000170275578006152,0.00017203909268603,0.000174218983907113,0.000176398875128196,0.000148046944655447,0.00010237240756308,9.54988314190418e-05,9.08745240850383e-05,9.78030785043781e-05
9,-0.000101491831432019,-0.000146627431284868,-0.000146545178734669,-0.000143863757539638,-0.000138918351922506,-0.000133536164696179,-0.000128153977469851,-3.73607967741751e-06,-1.66023398828308e-05,-8.37451680225723e-06,-8.92717804807892e-06,-6.40983243714061e-06
10,-0.000403527242751542,-0.000489853947080673,-0.000492408096797503,-0.000492394637212557,-0.000485123758119812,-0.000475726873796336,-0.000466329989472859,-0.000190155928650055,-0.000245818553578439,-0.000236188880599758,-0.000245661831565671,-0.00024817169027763
