"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWh",0,0,0,0,0,0,0,0,0,0,0,77
"ag003",0,0,0,0,0,0,0,0,0,0,0,0
"ag004",0,0,0,0,0,0,0,0,0,0,0,0
"ag005",0,0,0,0,0,0,0,0,0,0,0,0
"ag010",0,0,0,0,0,0,0,0,0,0,0,0
"ag012",0,0,0,0,0,0,0,0,0,0,0,0
"ag013",0,0,0,0,0,0,0,0,0,0,0,0
"ag014",0,0,0,0,0,0,0,0,0,0,0,0
"ag015",0,0,0,0,0,0,0,0,0,0,0,0
"ag016",0,0,0,0,0,0,0,0,0,0,0,0
"ag017",0,0,0,0,0,0,0,0,0,0,0,0
"ag018",0,0,0,0,0,0,0,0,0,0,0,0
"ag019",0,0,0,0,0,0,0,0,0,0,0,0
"ag020",0,0,0,0,0,0,0,0,0,0,0,0
"ag021",0,0,0,0,0,0,0,0,0,0,0,0
"ag023",0,0,0,0,0,0,0,0,0,0,0,0
"ag025",0,0,0,0,0,0,0,0,0,0,0,0
"ag027",0,0,0,0,0,0,0,0,0,0,0,0
"ag028",0,0,0,0,0,0,0,0,0,0,0,0
"ag029",0,0,0,0,0,0,0,0,0,0,0,0
"ag030",0,0,0,0,0,0,0,0,0,0,0,0
"ag031",0,0,0,0,0,0,0,0,0,0,0,0
"ag032",0,0,0,0,0,0,0,0,0,0,0,0
"ag033",0,0,0,0,0,0,0,0,0,0,0,0
"ag034",0,0,0,0,0,0,0,0,0,0,0,0
"ag035",0,0,0,0,0,0,0,0,0,0,0,0
"ag036",0,0,0,0,0,0,0,0,0,0,0,0
"ag037",0,0,0,0,0,0,0,0,0,0,0,0
"ag038",0,0,0,0,0,0,0,0,0,0,0,0
"ag039",0,0,0,0,0,0,0,0,0,0,0,0
"ag040",0,0,0,0,0,0,0,0,0,0,0,0
"ag042",0,0,0,0,0,0,0,0,0,0,0,0
"ag043",0,0,0,0,0,0,0,0,0,0,0,0
"ag044",0,0,0,0,0,0,0,0,0,0,0,0
"ag045",0,0,0,0,0,0,0,0,0,0,0,0
"ag046",0,0,0,0,0,0,0,0,0,0,0,0
"ag047",0,0,0,0,0,0,0,0,0,0,0,0
"ag048",0,0,0,0,0,0,0,0,0,0,0,0
"ag049",0,0,0,0,0,0,0,0,0,0,0,0
"ag050",0,0,0,0,0,0,0,0,0,0,0,0
"ag051",0,0,0,0,0,0,0,0,0,0,0,0
"ag052",0,0,0,0,0,0,0,0,0,0,0,0
"ag053",0,0,0,0,0,0,0,0,0,0,0,0
"ag054",0,0,0,0,0,0,0,0,0,0,0,0
"ag055",0,0,0,0,0,0,0,0,0,0,0,0
"ag056",0,0,0,0,0,0,0,0,0,0,0,0
"ag058",0,0,0,0,0,0,0,0,0,0,0,21
"ag059",0,0,0,0,0,0,0,0,0,0,0,0
"ag060",0,0,0,0,0,0,0,0,0,0,0,0
