"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",1200,1295,1305,1305,1305,1305,1305,1305,1305,1305,1305,1322
"ag003",5,5,5,5,5,5,5,5,5,5,5,5
"ag004",5,5,5,5,5,5,5,5,5,5,5,5
"ag005",5,5,5,5,5,5,5,5,5,5,5,5
"ag010",0,5,5,5,5,5,5,5,5,5,5,5
"ag012",5,5,5,5,5,5,5,5,5,5,5,5
"ag013",5,5,5,5,5,5,5,5,5,5,5,5
"ag014",5,5,5,5,5,5,5,5,5,5,5,5
"ag015",5,5,5,5,5,5,5,5,5,5,5,5
"ag016",0,5,5,5,5,5,5,5,5,5,5,5
"ag017",5,5,5,5,5,5,5,5,5,5,5,5
"ag018",5,5,5,5,5,5,5,5,5,5,5,5
"ag019",5,5,5,5,5,5,5,5,5,5,5,5
"ag020",5,5,5,5,5,5,5,5,5,5,5,5
"ag021",0,5,5,5,5,5,5,5,5,5,5,5
"ag023",5,5,5,5,5,5,5,5,5,5,5,5
"ag025",5,5,5,5,5,5,5,5,5,5,5,5
"ag027",0,5,5,5,5,5,5,5,5,5,5,5
"ag028",5,5,5,5,5,5,5,5,5,5,5,5
"ag029",5,5,5,5,5,5,5,5,5,5,5,5
"ag030",5,5,5,5,5,5,5,5,5,5,5,5
"ag031",5,5,5,5,5,5,5,5,5,5,5,5
"ag032",5,5,5,5,5,5,5,5,5,5,5,5
"ag033",5,5,5,5,5,5,5,5,5,5,5,5
"ag034",5,5,5,5,5,5,5,5,5,5,5,5
"ag035",5,5,5,5,5,5,5,5,5,5,5,5
"ag036",5,5,5,5,5,5,5,5,5,5,5,5
"ag037",5,5,5,5,5,5,5,5,5,5,5,5
"ag038",5,5,5,5,5,5,5,5,5,5,5,5
"ag039",5,5,5,5,5,5,5,5,5,5,5,5
"ag040",5,5,5,5,5,5,5,5,5,5,5,5
"ag042",5,5,5,5,5,5,5,5,5,5,5,5
"ag043",5,5,5,5,5,5,5,5,5,5,5,5
"ag044",5,5,5,5,5,5,5,5,5,5,5,5
"ag045",0,5,5,5,5,5,5,5,5,5,5,5
"ag046",5,5,5,5,5,5,5,5,5,5,5,5
"ag047",5,5,5,5,5,5,5,5,5,5,5,5
"ag048",0,5,5,5,5,5,5,5,5,5,5,5
"ag049",5,5,5,5,5,5,5,5,5,5,5,5
"ag050",5,5,5,5,5,5,5,5,5,5,5,5
"ag051",5,5,5,5,5,5,5,5,5,5,5,5
"ag052",5,5,5,5,5,5,5,5,5,5,5,5
"ag053",5,5,5,5,5,5,5,5,5,5,5,5
"ag054",5,5,5,5,5,5,5,5,5,5,5,5
"ag055",5,5,5,5,5,5,5,5,5,5,5,5
"ag056",5,5,5,5,5,5,5,5,5,5,5,5
"ag058",5,5,5,5,5,5,5,5,5,5,5,9.5
"ag059",5,5,5,5,5,5,5,5,5,5,5,5
"ag060",5,5,5,5,5,5,5,5,5,5,5,5
"ag062",5,5,5,5,5,5,5,5,5,5,5,5
"ag063",0,5,5,5,5,5,5,5,5,5,5,5
"ag064",5,5,5,5,5,5,5,5,5,5,5,5
"ag065",5,5,5,5,5,5,5,5,5,5,5,5
"ag066",5,5,5,5,5,5,5,5,5,5,5,5
"ag067",5,5,5,5,5,5,5,5,5,5,5,5
"ag068",5,5,5,5,5,5,5,5,5,5,5,5
"ag069",5,5,5,5,5,5,5,5,5,5,5,5
"ag070",5,5,5,5,5,5,5,5,5,5,5,5
"ag071",5,5,5,5,5,5,5,5,5,5,5,5
"ag072",5,5,5,5,5,5,5,5,5,5,5,5
"ag073",5,5,5,5,5,5,5,5,5,5,5,5
"ag074",5,5,5,5,5,5,5,5,5,5,5,5
"ag075",5,5,5,5,5,5,5,5,5,5,5,5
"ag076",5,5,5,5,5,5,5,5,5,5,5,5
"ag077",5,5,5,5,5,5,5,5,5,5,5,5
"ag078",5,5,5,5,5,5,5,5,5,5,5,5
"ag080",5,5,5,5,5,5,5,5,5,5,5,5
"ag081",0,0,5,5,5,5,5,5,5,5,5,5
"ag082",5,5,5,5,5,5,5,5,5,5,5,5
"ag083",0,5,5,5,5,5,5,5,5,5,5,5
"ag084",5,5,5,5,5,5,5,5,5,5,5,5
"ag085",5,5,5,5,5,5,5,5,5,5,5,5
"ag086",5,5,5,5,5,5,5,5,5,5,5,5
"ag087",5,5,5,5,5,5,5,5,5,5,5,5
"ag088",5,5,5,5,5,5,5,5,5,5,5,5
"ag089",5,5,5,5,5,5,5,5,5,5,5,5
"ag090",5,5,5,5,5,5,5,5,5,5,5,5
"ag093",5,5,5,5,5,5,5,5,5,5,5,5
"ag094",5,5,5,5,5,5,5,5,5,5,5,5
"ag095",5,5,5,5,5,5,5,5,5,5,5,5
"ag096",5,5,5,5,5,5,5,5,5,5,5,5
"ag098",5,5,5,5,5,5,5,5,5,5,5,5
"ag099",5,5,5,5,5,5,5,5,5,5,5,5
"ag100",5,5,5,5,5,5,5,5,5,5,5,5
"ag101",5,5,5,5,5,5,5,5,5,5,5,5
"ag102",5,5,5,5,5,5,5,5,5,5,5,5
"ag104",5,5,5,5,5,5,5,5,5,5,5,5
"ag105",5,5,5,5,5,5,5,5,5,5,5,5
"ag106",5,5,5,5,5,5,5,5,5,5,5,5
"ag107",5,5,5,5,5,5,5,5,5,5,5,5
"ag108",5,5,5,5,5,5,5,5,5,5,5,5
"ag109",5,5,5,5,5,5,5,5,5,5,5,5
"ag110",5,5,5,5,5,5,5,5,5,5,5,5
"ag111",5,5,5,5,5,5,5,5,5,5,5,5
"ag112",5,5,5,5,5,5,5,5,5,5,5,5
"ag113",5,5,5,5,5,5,5,5,5,5,5,5
"ag114",5,5,5,5,5,5,5,5,5,5,5,5
"ag117",5,5,5,5,5,5,5,5,5,5,5,5
"ag118",5,5,5,5,5,5,5,5,5,5,5,5
"ag119",5,5,5,5,5,5,5,5,5,5,5,5
"ag120",5,5,5,5,5,5,5,5,5,5,5,5
"ag122",5,5,5,5,5,5,5,5,5,5,5,5
"ag123",5,5,5,5,5,5,5,5,5,5,5,5
"ag124",5,5,5,5,5,5,5,5,5,5,5,5
"ag125",5,5,5,5,5,5,5,5,5,5,5,5
"ag126",5,5,5,5,5,5,5,5,5,5,5,5
"ag127",5,5,5,5,5,5,5,5,5,5,5,5
"ag128",5,5,5,5,5,5,5,5,5,5,5,5
"ag129",5,5,5,5,5,5,5,5,5,5,5,5
"ag130",5,5,5,5,5,5,5,5,5,5,5,5
"ag131",5,5,5,5,5,5,5,5,5,5,5,5
"ag132",5,5,5,5,5,5,5,5,5,5,5,5
"ag133",5,5,5,5,5,5,5,5,5,5,5,5
"ag134",5,5,5,5,5,5,5,5,5,5,5,5
"ag136",5,5,5,5,5,5,5,5,5,5,5,5
"ag137",5,5,5,5,5,5,5,5,5,5,5,5
"ag139",5,5,5,5,5,5,5,5,5,5,5,5
