"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,0.000651754297794241,0.000651744197607246,0.000651734509533976,0.000651735855943465,0.000651737202352953,0.000651738548762442,0.000651739895171931,0.000651401289097523,0.000586118180095052,0.00050302897197571,0.000459530056630479,0.000353917490615484
2,0.000556344351840772,0.000556344692811898,0.000556345033783025,0.000556345374754152,0.000556345715725278,0.000556346056696405,0.000556346397667531,0.000556166662010306,0.000511445126380813,0.00045213793029803,0.000418999955674173,0.000328074269635432
3,0.000502782886426751,0.00050275748819925,0.000502758020948749,0.000502758553698247,0.000502759086447745,0.000502759619197243,0.000502760151946742,0.000502580608067887,0.000470007365852776,0.00042037246987185,0.000382780775967104,0.000298674098897126
4,0.000446994714137513,0.00044699540010469,0.000446996086071867,0.000446996772039043,0.00044699745800622,0.000446998143973397,0.000446998829940574,0.000446781125208123,0.000419639329799581,0.000369196803819479,0.000336563678185372,0.000276650223542282
5,0.000402649856948351,0.000402650236638386,0.000402650616328421,0.000402650996018456,0.000402651375708491,0.000402651755398526,0.00040265213508856,0.000402398606016267,0.000376324688845426,0.000339018672059616,0.000305474358354778,0.000245451620718877
6,0.000412072092721248,0.000412061247841183,0.000412061989110282,0.00041206273037938,0.000412063471648478,0.000412064212917576,0.000412064954186675,0.000411801328159284,0.000383630847148024,0.000324806112186247,0.000296148350110266,0.000243007373744283
7,0.00038537828652168,0.000383696717753271,0.00038353366636558,0.000383693862128113,0.000383771305225417,0.000383907928279582,0.000383949679551641,0.000372876775711222,0.00034281850962775,0.000296353327085272,0.000271345273326249,0.000230942587439231
8,0.00032107383424966,0.000309545960046491,0.000308016133601666,0.00030896201696931,0.000309547112560947,0.000310472890755741,0.000310841635942472,0.000274132783886058,0.000230970695749692,0.000207411251533708,0.000160511723272261,0.000130883665786469
9,0.00022774800800564,0.000202083904995906,0.000197593997693237,0.000199923291277828,0.00020166414916268,0.000203496704165003,0.000205213093995628,0.000150516012987333,0.000116448403701756,0.000101989368374753,6.29219390218093e-05,4.80075813174214e-05
10,0.000154447099245834,0.000107943710829546,0.000100918683744542,0.000104743880627637,0.000105682611689682,0.00010912078921066,0.000111418090115364,4.45049694231181e-05,2.2961632137372e-05,5.5410568021388e-06,-1.57164583716647e-05,-5.08018413555962e-05
11,0.000107199687109218,4.19503641949075e-05,3.29746806684456e-05,3.79018733307325e-05,4.01111679117094e-05,4.48202050288068e-05,4.67135272767493e-05,-5.25292603038114e-05,-0.00010784665242645,-0.00019972244277227,-0.000246091054168765,-0.000307223901756815
12,0.000136154801144302,6.05111361367743e-05,4.94515128748917e-05,5.5053801328675e-05,5.75379838482313e-05,6.30906089278959e-05,6.54096375907826e-05,-0.000111415635773372,-0.000317379183995,-0.000486154152050364,-0.000608220487163489,-0.000801923758115821
13,0.000232579223470693,0.000152934757894382,0.000140799335950085,0.000146580632083843,0.000148968590884787,0.000154685429016797,0.00015663151797369,-0.000168981520221032,-0.000569212676177985,-0.000805540496448885,-0.00118422130011288,-0.00146771640926999
14,0.000268175699333155,0.00019251217985353,0.000180981848304841,0.000186451071411722,0.000189302054183616,0.000194886220053513,0.000193725928219136,-0.000234386979731561,-0.000691629824095767,-0.00097323024896853,-0.00151980971076568,-0.00179922513090681
15,0.000377081017322078,0.000310398376404998,0.000299959177759657,0.000304893379737528,0.000308362535080669,0.000313481342754166,0.000314229746256375,-0.000143536378356582,-0.000598065445264761,-0.000893435338272609,-0.00148880414980663,-0.00170415872230622
16,0.00050769375090666,0.000452170539661522,0.000442951868443966,0.000446958169379296,0.00044995169811863,0.00045418573571578,0.000452369435968131,4.32140750496202e-05,-0.000341668721387835,-0.000606934566143762,-0.00110741053394173,-0.00129588034769795
17,0.000574849278576256,0.0005324394841153,0.000525166036969201,0.000528283599313802,0.000530685135735982,0.000534141698029329,0.000532345521395838,0.000190181888103066,-0.000111999891818381,-0.00030605288832959,-0.000690783904582802,-0.000844856920671119
18,0.0008174808197686,0.000790663826580825,0.000786601748981047,0.000788592815453791,0.000789527715863836,0.000791906515074331,0.000790500436906996,0.000503203454916357,0.000275008319565749,0.000100374624889186,-0.000158597319967366,-0.00028615309205551
19,0.00096943761690641,0.000958783157591568,0.000957242968270422,0.000957826675249954,0.000958571370121814,0.000959524156356342,0.000958477241467216,0.000730735752902489,0.000524932244390443,0.000406205432662363,0.0002161197938944,0.000128905742054033
20,0.00103805282010947,0.00103638712562425,0.00103617094850535,0.00103624989481859,0.00103623401739587,0.00103638337234375,0.00103448842479253,0.000839317372089933,0.000654835822029699,0.000561351421558834,0.000390276095456723,0.000302337199131731
21,0.00105102985212386,0.00105101524559147,0.00105101629580463,0.00105101734601779,0.00105082682534973,0.00105082787556289,0.00104883521219259,0.000879428272497943,0.000728585357466568,0.000619644757432898,0.000419255440667128,0.000331951028971549
22,0.000992094621024934,0.000992083350871549,0.000992083666704624,0.000992083982537698,0.000990928437747627,0.000990928753580701,0.00098934164482124,0.000845161213715275,0.000720248319000797,0.000617289530097205,0.000442446790875077,0.000370080674087031
23,0.000803655624874061,0.000803656295597523,0.000803656966320985,0.000803657637044447,0.00080283961189572,0.000802840282619182,0.000801787313495901,0.000683617151706835,0.000573563016155597,0.000486157314682383,0.00033134136695495,0.00028430480486345
24,0.000678015567689155,0.000678016209444778,0.0006780168512004,0.000678017492956023,0.0006777767554013,0.000677766128518254,0.000676526708613994,0.000584791424369123,0.000501087591809984,0.000422005388420199,0.000310109655806572,0.000272362839510339
25,0.000567902816181167,0.000567901378392745,0.000567901833733363,0.000567902289073981,0.000567661365104253,0.000567661820444871,0.000567081528664639,0.000509932903360772,0.000451647981949388,0.000400036977365816,0.000323027178604092,0.000284820235288221
26,0.000489829616507101,0.000489830274609423,0.000489819986059174,0.000489820731736755,0.000489606918027363,0.000489687221427107,0.000489634229527738,0.000440678211412504,0.000390720111210192,0.000356140104811319,0.000289368369966728,0.000260760705886879
27,0.000452309203072103,0.000452309610683423,0.000452310018294743,0.000452310425906064,0.000452279377858644,0.000452311241128705,0.000452150729199795,0.000415719937639624,0.00038029535352951,0.0003458748633756,0.000278408186954854,0.000252757755637972
28,0.000431237981310048,0.000431238713493143,0.000431239445676237,0.000431240177859332,0.000431240910042427,0.000431241642225521,0.000431077623450761,0.000402515939389067,0.00036991651347929,0.000336213921512515,0.000271106970722529,0.000246151467826221
29,0.000420939928639554,0.000420917596189564,0.000420917981205712,0.000420918366221861,0.000420918751238009,0.000420919136254158,0.000420758601730077,0.000393400086430606,0.000357235635815719,0.000327485838213832,0.000264410443369316,0.000241121173787994
30,0.000439375479340086,0.00043937560194545,0.000439375724550814,0.000439375847156178,0.000439375969761542,0.000439376092366906,0.000439211464014416,0.000415819041530389,0.000371443490003479,0.000344332470351945,0.000286787995026215,0.000270214677822568
31,0.000429597648253152,0.000428156914295206,0.00042812785969761,0.000428257346293169,0.000428366369176221,0.000428496411702965,0.00042841957834931,0.000398858516213186,0.000357429828543157,0.000324690809636792,0.000264749264538071,0.000247485269035987
32,0.000384114226766553,0.000375906534061928,0.000374948882201552,0.000375632206086186,0.000375891856992771,0.000376546665443442,0.000376877763411879,0.000320446505116839,0.00027789793689331,0.000246811276746639,0.000184912767911817,0.000163131384820357
