"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,3.10329674485184e-07,3.29740851128967e-07,3.2708306225551e-07,3.24425273382052e-07,3.21767484508594e-07,3.19109695635136e-07,3.16451906761678e-07,5.15982299724178e-07,5.11707004774796e-07,5.95006969814467e-07,5.90031072785173e-07,6.36303413574554e-07
2,7.39738186805365e-08,7.33820274301921e-08,7.27902361798478e-08,7.21984449295035e-08,7.16066536791592e-08,7.10148624288148e-08,7.04230711784705e-08,2.01451584486206e-07,2.07319402807922e-07,2.05614547174737e-07,2.03909691541551e-07,2.02204835908366e-07
3,7.40739072878579e-08,1.12069077402301e-07,1.11167782018247e-07,1.10266486634193e-07,1.09365191250139e-07,1.08463895866085e-07,1.0756260048203e-07,1.21986944104957e-07,1.20963043356918e-07,2.05872172777857e-07,2.04160806238904e-07,2.02449439699951e-07
4,2.15439748228345e-07,2.13716224963239e-07,2.11992701698134e-07,2.10269178433029e-07,2.08545655167923e-07,2.06822131902818e-07,2.05098608637712e-07,3.02028683661571e-07,2.99515929343543e-07,2.97003175025515e-07,2.94490420707487e-07,2.91977666389459e-07
5,1.07578401106192e-07,1.06717770360504e-07,1.05857139614816e-07,1.04996508869127e-07,1.04135878123439e-07,1.03275247377751e-07,1.02414616632063e-07,1.24853051366593e-07,1.23806027331063e-07,1.22759003295533e-07,1.21711979260003e-07,1.20664955224473e-07
6,2.06943405175067e-07,2.05287849702067e-07,2.03632294229067e-07,2.01976738756068e-07,2.00321183283068e-07,1.98665627810068e-07,1.97010072337069e-07,2.29621219785011e-07,3.73284692243182e-07,3.70190250812026e-07,4.47555175359982e-07,4.43817055767907e-07
7,4.09541425110822e-05,4.34206001229883e-05,4.34730964777646e-05,4.33659129237035e-05,4.30496494921717e-05,4.26941621536983e-05,4.2338674815225e-05,7.36295429870928e-05,7.85291636006783e-05,8.15296755924875e-05,8.30597662677297e-05,8.42876819201935e-05
8,0.000247589718419036,0.000266749087774131,0.000266704246740381,0.000265774230422967,0.000264010715743089,0.000261830824522006,0.000259650933300923,0.000459012051197808,0.000489087232308284,0.000512172406099357,0.000524274982209377,0.000530661471178851
9,0.000614798344841981,0.000659933944694829,0.00065985169214463,0.0006571702709496,0.000652967433028774,0.000647575810936546,0.000642184188844317,0.00114527200232993,0.00121259662961925,0.00126937073020437,0.00129792218612996,0.0013087882509582
10,0.00105661153393928,0.00114293823826841,0.00114549238798524,0.0011454789284003,0.00113825142240088,0.0011288545380774,0.00111945765375393,0.0019668633198809,0.00207631255588573,0.00218803040983541,0.00223709436030946,0.00226250925635774
