"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"Total_kWp",369,372.5,374,374.5,376,376,386,781.5,1093.5,1290,1343,1353
"ag003",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5
"ag004",1,1,1,1,1,1,1,1,1,3,3,3
"ag005",1,1,1,1,1,1,1,1,1,1,3.5,3.5
"ag010",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag012",2,2,2,2,2,2,2,2,5.5,5.5,5.5,5.5
"ag013",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag014",1,1,1,1,1,1,1,4,4,4,4,4
"ag015",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2.5,2.5,2.5
"ag016",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7
"ag017",3,3,3,3,3,3,3,9.5,9.5,9.5,9.5,9.5
"ag018",1,1,1,1,1,1,1,1,1,4,4,4
"ag019",1,1,1,1,1,1,1,1,1,2.5,2.5,2.5
"ag020",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,7,7,7,7
"ag021",1.5,1.5,1.5,1.5,1.5,1.5,1.5,9.5,9.5,9.5,9.5,9.5
"ag023",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5,3.5
"ag025",1.5,1.5,1.5,1.5,1.5,1.5,1.5,8,8,8,8,8
"ag027",1,1,1,1,1,1,1,4.5,4.5,4.5,4.5,4.5
"ag028",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag029",1,1,1,1,1,1,1,3.5,3.5,3.5,3.5,3.5
"ag030",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,2
"ag031",1,1,1,1,1,1,1,3,3,3,3,3
"ag032",1,1,1,1,1,1,1,1,1,4.5,4.5,4.5
"ag033",2,2,2,2,2,2,2,7.5,7.5,7.5,7.5,7.5
"ag034",1.5,1.5,1.5,1.5,1.5,1.5,1.5,5,5,5,5,5
"ag035",2.5,2.5,2.5,2.5,2.5,2.5,2.5,8,8,8,8,8
"ag036",1,1,1,1,1,1,1,1,1,3,3,3
"ag037",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4
"ag038",1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4,4
"ag039",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,4,4,4,4
"ag040",1,1,1,1,1,1,1,1,1,3.5,3.5,3.5
"ag042",2,2,2,2,2,2,2,2,2,7.5,7.5,7.5
"ag043",1,1,1,1,1,1,1,1,3.5,3.5,3.5,3.5
"ag044",1,1,1,1,1,1,1,1,1,1,4,4
"ag045",1,1,1,1,1,1,1,1,1,1,5,5
"ag046",3,3,3,3,3,3,3,3,8.5,8.5,8.5,8.5
"ag047",1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,5.5,5.5,5.5,5.5
"ag048",1,1,1,1,1,1,1,1,1,1,5,5
