"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,0.000651703593348735,0.000651705167667641,0.000651706741986546,0.000651708316305452,0.000651709890624358,0.000651711464943263,0.000651713039262169,0.000641357534897666,0.000465001498862375,0.00033211046357333,0.000236717696277047,0.00022362768940006
2,0.000556344351840772,0.000556344692811898,0.000556345033783025,0.000556345374754152,0.000556345715725278,0.000556346056696405,0.000556346397667531,0.000552541545623663,0.000406075199680158,0.000311118447484269,0.000225991133444999,0.000217966150957333
3,0.000502755884114738,0.000502756427081349,0.000502756970047961,0.000502757513014573,0.000502758055981185,0.000502758598947797,0.000502759141914409,0.00050094395802969,0.000370079354903634,0.00029444796241522,0.000222644582662814,0.000204492821299072
4,0.000446963304802861,0.00044696424204547,0.000446965179288078,0.000446966116530687,0.000446967053773296,0.000446967991015904,0.000446907625772465,0.000445051433993853,0.000346716610445198,0.000278468431796348,0.000210421536167363,0.000194678723076733
5,0.000402636769201693,0.000402637253594131,0.000402637737986569,0.000402638222379008,0.000402638706771446,0.000402639191163885,0.000402639675556323,0.000401602197421008,0.000319632603373447,0.00025223451429471,0.00019116879604778,0.000187721655117975
6,0.000412046578134234,0.000412047431567031,0.000412048284999827,0.000412049138432624,0.000412049991865421,0.000412050845298217,0.000412051698731014,0.000410448654175279,0.000323639671174277,0.000250021841653623,0.000184711693338939,0.000181934147525355
7,0.000378796631174665,0.000378789284318652,0.000378913258845687,0.000379097521507213,0.000379253399755025,0.000379463193621233,0.000379108059030272,0.000358816731815499,0.000272773662796644,0.000205048897404622,0.000162794380568939,0.000167621240000768
8,0.00027979309273897,0.000279627025205015,0.00028051091159752,0.000281606741603145,0.000282436852843925,0.000283706097975332,0.000283949170284727,0.000225612749151654,0.000150132743168309,0.000102838860050165,8.67058979616976e-05,9.29481045511772e-05
9,0.000129597493377913,0.000130108104638143,0.00013217656925554,0.000134868784005831,0.00013727128098514,0.000140374970479034,0.000147656113701125,9.17441611037107e-05,5.63358203824938e-05,3.11007472610138e-05,1.03901594550076e-05,1.21053548310649e-05
10,-1.41394746219788e-05,-1.521723911714e-05,-1.2128787742893e-05,-7.57178885230954e-06,-4.41430789600961e-06,1.01095572059265e-06,1.20707506885673e-05,-2.37933895424687e-05,-3.99434337685388e-05,-8.76684274554018e-05,-0.000125537216277649,-0.0001237510294612
11,-0.000118279535966773,-0.000119437434343835,-0.000116082116831602,-0.000110053801796069,-0.000105207694233666,-9.80078611001906e-05,-8.41145417460514e-05,-0.000133218348380069,-0.00025939885439292,-0.00039111211196813,-0.000507771332443607,-0.000520073395341645
12,-0.000126180166691285,-0.000127125581849088,-0.000123120679648259,-0.000116181887931223,-0.000110003503681409,-0.000101715507491127,-0.000104262082272228,-0.000321669847505428,-0.000694472137435166,-0.00106321853066159,-0.00120612639682503,-0.00121223063351678
13,-4.31739345946009e-05,-4.40121872873793e-05,-3.96794037714556e-05,-3.2486070392302e-05,-2.63146398401668e-05,-1.76408094436633e-05,-3.84353595110121e-05,-0.000676642821067002,-0.00137215819245301,-0.0018455740286582,-0.00202321396113974,-0.00202549767175769
14,4.19600986592189e-06,4.83970455491475e-06,8.95784397092689e-06,1.57543376897112e-05,2.02414560722158e-05,2.84740337541199e-05,8.4647557888004e-06,-0.000929033391452653,-0.00171504621397163,-0.00223162446651322,-0.0023399787890312,-0.002359695403207
15,0.000137727116183843,0.000138898780457246,0.000142866230425538,0.000148961983060677,0.000154342633756813,0.000161897089881976,0.000144539964594543,-0.000867241903711765,-0.00166415425097195,-0.00209159826053827,-0.00219196548540228,-0.00219827539611407
16,0.000308389331274254,0.000309493812470539,0.000312862949695638,0.000317824424762288,0.000320803746604351,0.000327071579509611,0.000314469942949579,-0.000566372945955392,-0.0012318266550782,-0.0016130252879556,-0.00169149515283744,-0.00169485013918947
17,0.000416949172166788,0.000417963231677178,0.000420870301664166,0.000424797009772164,0.000427049696754477,0.000432036989676696,0.00042437568317392,-0.000290260449515839,-0.000795656315651978,-0.00108723660551507,-0.00114566027999673,-0.00113589944246357
18,0.000717843041781246,0.000718632138751654,0.000720867663964608,0.000723372398529528,0.000724624906351787,0.000727760577269927,0.000722274550225075,0.000172389071250041,-0.000218990906461022,-0.000429688506167354,-0.000478436558087983,-0.000473664005371356
19,0.000927101161064417,0.000927345330506424,0.000928245397289211,0.000929271222687544,0.000929556862443232,0.000930843487285084,0.000926716527053719,0.000516433712639947,0.000236056761461938,5.78511576240348e-05,2.74953057120014e-05,2.97243238468178e-05
20,0.00103064152324118,0.00103068253545754,0.00103080262792264,0.00103099436666741,0.00103079238251679,0.00103100950975589,0.00102266840174128,0.000658406314085473,0.000381314246694082,0.000231440314646224,0.000208914395776305,0.000212775764872583
21,0.00105099413620535,0.00105099534788897,0.0010509965595726,0.00105099777125622,0.00105061967259502,0.00105062088427864,0.00103554782718919,0.000690756857470575,0.000435308518261662,0.000280263971796553,0.000249554528308286,0.000256598339493961
22,0.000992073445083168,0.000992073838373009,0.000992074231662851,0.000992074624952692,0.000991366205981998,0.000991366599271839,0.000967993075117916,0.000647452772829391,0.000446665073256876,0.000301152695616765,0.000265669911539195,0.00027253114547492
23,0.000803636693548955,0.000803637515726101,0.000803638337903248,0.000803639160080395,0.000803076763866737,0.000803077586043884,0.000793771894811069,0.000520777914783765,0.000346122917633052,0.000232022319640861,0.000202349479983171,0.000212259306688131
24,0.000677983233959283,0.000677984134390232,0.000677973766182513,0.000677974756764465,0.000676957817757753,0.000676958808339705,0.000667963630339282,0.000439567154667288,0.000317807626419572,0.00022644151503448,0.000212779407902193,0.000217683275042737
25,0.000567880502834379,0.000567881121660524,0.000567881740486668,0.000567882359312812,0.000567489970481708,0.000567599728299153,0.000558675003357977,0.000418994920723906,0.000304387188463379,0.000213851998794759,0.000206525420472746,0.000210121457864799
26,0.00048980154155504,0.000489802424262146,0.000489803306969252,0.000489804189676358,0.000489805072383463,0.000489805955090569,0.00048693587945123,0.000373981714588975,0.0002877871066749,0.000206131300281569,0.00019571402639991,0.000192678122604109
27,0.000452290593779728,0.00045229115026899,0.000452291706758253,0.000452292263247515,0.000452292819736777,0.00045229337622604,0.000451906959535225,0.000353708987582579,0.000278591351591845,0.00020722068730361,0.000182899431261626,0.000172233246319163
28,0.000431211879323046,0.000431212820327253,0.000431213761331461,0.000431214702335668,0.000431215643339876,0.000431216584344083,0.000430857372091586,0.000336075476113339,0.000263442409376657,0.000198573575742274,0.000182898139320824,0.000178340092444187
29,0.000420893328592441,0.000420893906116664,0.000420894483640887,0.00042089506116511,0.000420895638689333,0.000420896216213556,0.000418739705615174,0.00031895236823435,0.000245538734485787,0.000183319495904199,0.000185752697968856,0.000191874421254442
30,0.000439367816711279,0.000439368000619325,0.000439368184527371,0.000439368368435417,0.000439368552343463,0.000439368736251509,0.00043877121901013,0.000336868786988213,0.000262949440775473,0.000206412386171433,0.000205189113120134,0.000209333282126523
31,0.000423994025370242,0.000424107067745308,0.000424222786334264,0.000424385562456506,0.000424547721168399,0.000424733859388148,0.000423313214427062,0.000326046758888079,0.000242162918548905,0.000187314291639755,0.00018741164242239,0.00019923926204762
32,0.000353018512117067,0.000352909282506585,0.000353449097365893,0.000354341933549772,0.000355113455706763,0.000356092905258633,0.000353540615124255,0.00025321394943899,0.000163213017902686,0.000123836713206368,0.00011760486236477,0.000120009416323978
33,0.000234233872370651,0.000233896308952225,0.000235037563136787,0.00023704072589487,0.000238739584938607,0.000241025467583545,0.000242563909944364,0.000148247089243156,8.5958899198881e-05,4.02939923848619e-05,3.54752904327566e-05,3.65404031149046e-05
34,0.000120805174155579,0.000120197795297635,0.000121276513994948,0.000124350687606674,0.000127205607047531,0.000130598801942989,0.000133363849427424,6.61981015484642e-05,2.66586328474691e-05,-1.00345406177357e-05,-1.67690784107372e-05,-1.53390605714214e-05
35,1.14285936286642e-05,1.03813631802574e-05,1.14119389804023e-05,1.52543953550643e-05,1.78650273054108e-05,2.21552836955439e-05,2.6788701661865e-05,-2.22149456274209e-05,-3.68803569548309e-05,-7.85357701256247e-05,-8.7963441686785e-05,-8.62462655484348e-05
36,-7.67262537900176e-05,-7.86278999345425e-05,-7.66688002467783e-05,-7.21819469668671e-05,-6.83459928867515e-05,-6.30816168173837e-05,-5.62076909949879e-05,-0.00014109730084046,-0.000189512792244015,-0.000256622526448595,-0.000277500374649385,-0.000281720346658117
37,-0.000100001080572349,-0.000101891543038072,-9.95262883204104e-05,-9.43211446166248e-05,-8.98405762975389e-05,-8.36727331349852e-05,-7.99520012541194e-05,-0.00029954504799944,-0.000518196340480697,-0.000619460258205165,-0.000634978034208327,-0.000635733163417182
38,-5.49101325451395e-05,-5.47084589884901e-05,-5.22585703044194e-05,-4.72212547367228e-05,-4.38111240736493e-05,-3.84028238754637e-05,-3.63768447987433e-05,-0.00040071053676942,-0.000757266763717254,-0.000917408067546116,-0.000948183869806451,-0.000961476274400863
39,2.79555096426096e-05,2.82688245386687e-05,3.12134076833672e-05,3.51298754379207e-05,3.8925364626384e-05,4.35941779681351e-05,4.09444465312861e-05,-0.000404123175550933,-0.000768653762125533,-0.00097623071957825,-0.0010178791731695,-0.00102255169002178
40,0.000174364892850831,0.000175299228438395,0.00017796850304654,0.000180985162409973,0.000183620504152544,0.000187208904224438,0.000182528205975274,-0.000192757466556291,-0.00053707116848195,-0.000717003668854349,-0.000747003608096276,-0.000746681615596317
41,0.000402845428027994,0.00040336687363197,0.000404934401271347,0.000406783009611155,0.000407731876204295,0.000409992383192644,0.000405574231542516,0.00010646782156794,-0.000170590870974949,-0.000316247358844504,-0.000341717984443097,-0.000341689176772008
42,0.000672645294598774,0.000672652634699135,0.000673253337246346,0.000673949032896438,0.000673769797708926,0.000674638815157012,0.000666334529052726,0.000374821611612969,0.000124961684627765,1.07496135582442e-05,-1.19683194514306e-05,-1.35298499326269e-05
43,0.000807082651672225,0.00080712343995365,0.000807195068301228,0.000807351300144711,0.000807484765980919,0.000807691786589472,0.000799790622514947,0.000500728068199816,0.000213000609642143,6.27112796965983e-05,3.53084620312918e-05,3.53749873198906e-05
44,0.000747861499235251,0.000747868626887567,0.000747875844690886,0.000747882927276552,0.000747897839473459,0.000747916537864983,0.000738370545397674,0.00045867846048657,0.000209426621163168,6.27359058876306e-05,4.6416764260615e-05,4.46253688813089e-05
45,0.000683933972781408,0.000683935236682362,0.000683936500583315,0.000683937764484269,0.000683939028385223,0.000683940292286176,0.000675380328593925,0.000421969660091674,0.000182640411166798,7.17086836385545e-05,4.93610577980239e-05,4.79696061310352e-05
46,0.000644468479504865,0.000644470463551268,0.00064447244759767,0.000644474431644073,0.000644476415690476,0.000644478399736878,0.000625576169223894,0.000372622047688995,0.000187487956175611,8.12741480692043e-05,5.96193915337777e-05,5.9750503043269e-05
47,0.000620168423664867,0.000620169620387649,0.000620170817110432,0.000620172013833214,0.000620173210555997,0.000620174407278779,0.000611945718944091,0.000370057893780234,0.00020616204706174,9.93303914885235e-05,8.72889256237007e-05,9.25909403370315e-05
48,0.000506563477662158,0.000506563904725216,0.000506564331788274,0.000506564758851332,0.00050656518591439,0.000506565612977447,0.00049892619329721,0.000322524393281896,0.000194170306729345,0.000111530410448823,9.99843995392324e-05,0.000105495851644681
49,0.00045916820755031,0.000459169406003927,0.000459170604457544,0.000459171802911161,0.000459173001364778,0.000459174199818395,0.000445497237352472,0.000304180992664165,0.000195301371221682,0.000114624979430294,0.000105675538960118,0.000110288644459242
50,0.00037798389822807,0.000377984885324131,0.000377985872420192,0.000377986859516253,0.000377987846612314,0.000377988833708375,0.00037395586680085,0.000252331154947133,0.000172546070847333,0.000101900125142165,9.22062204471708e-05,9.29352780721663e-05
51,0.000361267300062365,0.000361267705741878,0.000361268111421391,0.000361268517100904,0.000361268922780417,0.000361269328459931,0.000359779332353939,0.000254657279895016,0.000179851169075429,0.000115514736990549,0.000100239010814374,0.000102977552549381
52,0.000352223067114682,0.000352223274924638,0.000352223482734594,0.00035222369054455,0.000352220142239383,0.000352220380099674,0.000351523299952301,0.000245512868848706,0.000175038722665275,0.000108755030107737,0.000105184115472665,0.000106958038410414
53,0.000356184813879961,0.000356185542300065,0.000356186270720169,0.000356186999140272,0.000356187727560376,0.00035618845598048,0.000355632397172515,0.000251599927123612,0.000174131831721339,0.000107753056410441,0.000105257762225941,0.000111155889186825
54,0.000380020820939592,0.000380021757866087,0.000380022694792581,0.000380023631719076,0.000380024568645571,0.000380025505572066,0.00038002644249856,0.00027871457186061,0.000204919617454323,0.000130733299923183,0.000139538142117096,0.00015293023477187
55,0.000391734118718338,0.000391782017354752,0.000391867682016416,0.000391990780047998,0.000392081351864681,0.000392241691479837,0.00039179605216983,0.000294298719137255,0.000204603594586147,0.000155585910114872,0.000162909238344346,0.000176760194571567
56,0.000322688804058715,0.000322736223682097,0.000323459938135934,0.000324465653403908,0.000325225289129388,0.000326402308713324,0.000326370411327929,0.000211318044652247,0.000114504734660685,7.24147662699139e-05,7.0218095777112e-05,7.34153191359787e-05
57,0.000210089615343074,0.00021005781683707,0.000211461617738895,0.000213439471128603,0.00021499611695577,0.000217428901325108,0.000219721710361288,0.000138637256970171,5.60688305634198e-05,1.96743234269519e-05,1.20768299448328e-05,1.22867509262998e-05
58,1.67735264574551e-05,1.64080842756544e-05,1.87928627611692e-05,2.20575147678285e-05,2.46955347390462e-05,2.88139453273401e-05,3.7676884507515e-05,2.13322970993797e-05,-6.32671838388001e-06,-3.55395683004821e-05,-3.81359788771212e-05,-3.7270170128286e-05
59,-0.000192113962559478,-0.000193988038132877,-0.000191712935014833,-0.00018667744097144,-0.000182748305872289,-0.000176910573595566,-0.000168684066273502,-0.000158389119217145,-0.000154507210934194,-0.000209624525708379,-0.000208218240019052,-0.000211295973055625
60,-0.000236466269023617,-0.000237945754816679,-0.000235044872549566,-0.000229551025507088,-0.000224373633230173,-0.000218014594741801,-0.000216155569937153,-0.000301230223438123,-0.000354476526093707,-0.000464292455972019,-0.000514876168797412,-0.000524576723726528
61,-0.0001790846664952,-0.000179452718663686,-0.000176066761245162,-0.000170961672493143,-0.000166789241914495,-0.000160711441423722,-0.000165678740800911,-0.000482422989203356,-0.000771161634454658,-0.000957599065766747,-0.00103033433708452,-0.00104614853155796
62,-0.000339720064389501,-0.000338897509712814,-0.000334494409467617,-0.000328757756253869,-0.000324949427510209,-0.000317899180342943,-0.000338497450259017,-0.000939867497906963,-0.00142943007049418,-0.00172883880711343,-0.00182165726363448,-0.00184678355179362
63,-0.000421752387032106,-0.000420561881529323,-0.000416424349148017,-0.000410146661952278,-0.000405883198878707,-0.000398190249902342,-0.000416391103655206,-0.00127672598191332,-0.00199859584127622,-0.002402269160143,-0.00250745543627275,-0.00251719690140736
64,-0.000298496751838609,-0.000297336595766016,-0.000293769110466373,-0.00028812184742739,-0.000284496890145786,-0.000277628643404118,-0.000290360797399575,-0.0011882262771432,-0.001872174096863,-0.00225593521701849,-0.002341098181098,-0.00233817617977156
65,-7.77395131288437e-05,-7.64618139683679e-05,-7.33511236276714e-05,-6.8904698025206e-05,-6.61754146257966e-05,-6.06681038095021e-05,-6.72711938586298e-05,-0.000818939558607764,-0.00139111262204761,-0.00169672672908801,-0.00176379327299705,-0.0017617371385477
66,0.000285972572758211,0.000286739518890304,0.000288964637655037,0.00029163690185018,0.000292576075597018,0.00029587178591819,0.000289098054482157,-0.000214180095489141,-0.000576646368593731,-0.000777806081564568,-0.000828806199082971,-0.000826097653015148
67,0.000608944891530327,0.000609230984499643,0.000610214852107737,0.000611199395923891,0.000611497015302387,0.000612752097729721,0.000608520321588267,0.000288733653424934,9.14563562053646e-06,-0.000143171742220724,-0.000168914349819012,-0.00016715635514112
68,0.000699460150492119,0.000699519169964628,0.000699673339858889,0.000699850091214151,0.000699600921936588,0.000699789479164565,0.000693825924297041,0.000418772632964432,0.000176904918413167,2.61249741560054e-05,2.57282981983269e-06,-2.25098881707854e-07
69,0.000721795842471429,0.00072179624970336,0.000721774120584164,0.000721774708118101,0.000721392153889586,0.000721392741423524,0.000707734325126043,0.00041117186412219,0.000174300181933357,4.00716749905648e-05,1.25859869980808e-05,1.2738067720375e-05
70,0.000703809757091832,0.000703811003251878,0.000703812249411923,0.000703813495571968,0.000703354971617071,0.000703356217777116,0.000689376621025284,0.000397051391907802,0.000175710569399058,5.26150144807184e-05,2.38085742576234e-05,2.45176271063172e-05
71,0.000636593420367304,0.000636594190295157,0.00063659496022301,0.000636595730150863,0.000635651367424919,0.000635652137352772,0.000626913443679092,0.000363452473892233,0.000172580099931833,4.81843710042731e-05,2.57603189985336e-05,2.82892176060333e-05
72,0.000534556319260236,0.000534556589030282,0.000534556858800329,0.000534557128570376,0.000533702877556028,0.000533821960646877,0.000527565564810524,0.000309834073188729,0.000152698300068994,5.22434635646638e-05,3.01861867989312e-05,2.80094796921424e-05
73,0.000447441619184678,0.00044744237746909,0.000447443135753502,0.000447443894037914,0.000447444652322326,0.000447445410606738,0.00043300555586433,0.000260988917433842,0.000133675424102069,3.90892343273779e-05,2.20070963481469e-05,2.24945598765606e-05
74,0.00038109236173325,0.000381093308726625,0.00038109425572,0.000381095202713375,0.000381096149706751,0.000381097096700126,0.00037666509350193,0.000229006238298431,0.000126725528157479,3.45080984031293e-05,2.39198336488553e-05,2.34381475835232e-05
75,0.00037070826376605,0.000370709647558232,0.000370711031350415,0.000370712415142597,0.00037071379893478,0.000370715182726962,0.000367854497553627,0.00022992532434929,0.000133964630260532,6.14190597979496e-05,3.89470764097382e-05,3.6125615827311e-05
76,0.000356872838080244,0.000356873794138785,0.000356874750197326,0.000356875706255867,0.000356876662314408,0.000356877618372949,0.000353809608914248,0.000218150476241011,0.000129819431253031,6.15497055345747e-05,4.83724981960816e-05,4.28791872473713e-05
