"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,5.11551968155137e-07,5.07459550954556e-07,5.03367133753974e-07,4.99274716553393e-07,4.95182299352812e-07,4.91089882152231e-07,4.8699746495165e-07,5.9334001090339e-07,5.88364113874096e-07,6.41957631494717e-07,8.0618725894918e-07,7.99385413274749e-07
2,1.49199729478383e-07,1.48006130199591e-07,1.46812530920799e-07,1.45618931642007e-07,1.44425332363215e-07,1.43231733084423e-07,1.42038133805631e-07,2.04751501573355e-07,2.03046645940169e-07,2.01341790306983e-07,1.99636934673798e-07,1.97932079040612e-07
3,1.25889155563553e-07,1.24882040073679e-07,1.23874924583805e-07,1.22867809093931e-07,1.21860693604057e-07,1.20853578114183e-07,1.19846462624309e-07,2.0185320730227e-07,2.00181979424146e-07,1.98510751546022e-07,2.58142065699773e-07,2.6419058199392e-07
4,3.14093346517309e-07,3.11580592199281e-07,3.09067837881253e-07,3.06555083563225e-07,3.04042329245197e-07,3.01529574927169e-07,2.9901682060914e-07,2.96504066291112e-07,2.93991311973084e-07,2.91478557655056e-07,3.83009389887464e-07,3.79744284472257e-07
5,1.3087746658641e-07,1.2983044255088e-07,1.2878341851535e-07,1.27736394479821e-07,1.26689370444291e-07,1.25642346408761e-07,1.24595322373231e-07,1.23548298337702e-07,1.22501274302172e-07,1.21454250266642e-07,1.90304422671766e-07,3.00447440236647e-07
6,3.20880660260611e-07,3.18313602196595e-07,3.1574654413258e-07,3.13179486068564e-07,3.10612428004549e-07,3.08045369940533e-07,3.05478311876518e-07,3.68833864579372e-07,3.65739423148217e-07,4.54598542836045e-07,4.70978043093286e-07,4.66986292075166e-07
7,6.93413909136028e-05,6.93634328171749e-05,6.88040841947279e-05,6.82447355722808e-05,6.76853869498337e-05,6.71260383273866e-05,6.65666897049395e-05,8.29830942254527e-05,8.27376052157752e-05,8.45412999825151e-05,9.24458454936275e-05,9.44277421475076e-05
8,0.000431396693435155,0.000430724982593233,0.000427251549916951,0.00042377811724067,0.000420304684564389,0.000416831251888107,0.000413357819211826,0.000524661450302748,0.000523828461564436,0.000532367721781907,0.000578324650609234,0.000588908058276479
9,0.00107023037857845,0.00107076335954026,0.00106212869199071,0.00105349402444117,0.00104485935689162,0.00103622468934208,0.00102759002179253,0.00129465923602339,0.00129268858540066,0.00131500998597192,0.00143611392370948,0.00145990050425851
10,0.00184044614139111,0.00184596178569333,0.00183107617578929,0.00181619056588525,0.00180130495598121,0.00178641934607717,0.00177153373617312,0.00223151825647409,0.00222629400620568,0.00227479604505794,0.0024969736519661,0.00254668246838612
11,0.00243259371755322,0.00243887564324788,0.00241920876632066,0.00239954188939344,0.00237987501246623,0.00236020813553901,0.0023405412586118,0.00296889888679273,0.00296047916820658,0.00302604673489652,0.00331995641088482,0.00339501338352577
12,0.00279829495777348,0.0028051526280571,0.00278253208180917,0.00275991153556123,0.0027372909893133,0.00271467044306536,0.00269204989681742,0.00342624888603066,0.00341557353629385,0.00349199570664601,0.00384164103711564,0.00393498826982134
13,0.0029241360542129,0.00293098726216383,0.00290735195285223,0.00288371664354063,0.00286008133422903,0.00283644602491744,0.00281281071560584,0.00358411468539286,0.0035713769992355,0.00365043042680821,0.00402401955323109,0.00412628984649619
14,0.00282728511175557,0.00282837687388321,0.00280556863459089,0.00278276039529858,0.00275995215600626,0.00273714391671395,0.00271433567742164,0.00346149365325689,0.00344835788094797,0.00351692761323568,0.00387537218466766,0.00397018396207236
15,0.00255162304486593,0.00254920971877932,0.0025286524676035,0.00250809521642768,0.00248753796525186,0.00246698071407604,0.00244642346290022,0.00310850053228569,0.00309635795655633,0.00316134892778507,0.00348856074654883,0.00358534556896651
16,0.00209244340787282,0.00209291620786365,0.00207603872516475,0.00205916124246584,0.00204228375976694,0.00202540627706803,0.00200852879436912,0.00256091417485346,0.00255107135774225,0.00261598449825899,0.00288209032792169,0.00296866956767833
17,0.00163748993016193,0.00163889604298586,0.0016256798778308,0.00161246371267575,0.0015992475475207,0.00158603138236565,0.00157281521721059,0.00199740688530138,0.00198682848393359,0.00204602659961417,0.0022702496396078,0.00234820302130583
18,0.00102169286594069,0.00102260909527409,0.00101436270355004,0.00100611631182599,0.000997869920101943,0.000989623528377892,0.000981377136653844,0.0012367527922453,0.00122921552845202,0.00126941605721513,0.00141633395412256,0.00148177487201554
19,0.000414989265894765,0.000416117490834439,0.000412761935471556,0.000409406380108673,0.00040605082474579,0.000402695269382906,0.000399339714020023,0.000496735591195046,0.000493600813920322,0.000514451922332626,0.000576453461193419,0.000611493720864229
