"Interval","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
1,1.91816251753995e-07,2.34371185683328e-07,2.32483939234499e-07,2.52490507782934e-07,2.50428110814128e-07,2.48365713845321e-07,2.46303316876515e-07,3.58863043913408e-07,4.13354907756373e-07,4.2428357945112e-07,5.10880454290243e-07,5.94180419329915e-07
2,2.88733233302768e-08,5.11800665772704e-08,5.07687776683479e-08,5.03574887594255e-08,4.9946199850503e-08,4.95349109415806e-08,4.91236220326581e-08,1.48879976940828e-07,2.09195345011113e-07,2.07490489377927e-07,2.05785633744742e-07,2.04080778111556e-07
3,4.5976906523907e-08,5.07176379339503e-08,8.79844754690133e-08,8.72743860692688e-08,8.65642966695242e-08,8.58542072697796e-08,8.51441178700351e-08,1.15085299486228e-07,1.14129999358515e-07,1.20837520483797e-07,1.26206602051587e-07,1.25138913673554e-07
4,1.35267065404291e-07,1.34184925547303e-07,1.33102785690315e-07,1.32020645833327e-07,1.3093850597634e-07,1.29856366119352e-07,1.28774226262364e-07,2.61442989547966e-07,3.04366217212087e-07,3.01853462894059e-07,2.99340708576031e-07,2.96827954258002e-07
5,7.36365526288373e-08,7.30474577868689e-08,7.24583629449005e-08,7.18692681029321e-08,7.12801732609637e-08,7.06910784189953e-08,7.01019835770269e-08,1.74646326179746e-07,1.73216160381764e-07,1.71785994583782e-07,1.703558287858e-07,1.68925662987819e-07
6,1.06650494896014e-07,1.40279882567978e-07,1.39150812254324e-07,1.38021741940669e-07,1.36892671627015e-07,1.35763601313361e-07,1.34634530999706e-07,2.14425486069605e-07,2.203118490612e-07,3.21921868869744e-07,3.19256546212535e-07,3.70230825367814e-07
7,2.15474114279462e-05,2.9014964999386e-05,3.12934990967959e-05,3.17181986742652e-05,3.19282962450646e-05,3.19214588974113e-05,3.19710078488003e-05,5.33175989136182e-05,6.31764764477293e-05,7.29346194331701e-05,8.12852321961759e-05,8.53350000139221e-05
8,0.000130436704113534,0.000175130234449222,0.000190342310641475,0.000193231316195434,0.000194735584934285,0.000194102733774581,0.000194508242294126,0.000333719220434926,0.000389813670672221,0.000451592416807776,0.000510320267166351,0.000534889255502671
9,0.000323362493670581,0.0004358933800094,0.000468187021344643,0.000473237697036972,0.000477228991117861,0.000477619433403481,0.00047745946504831,0.000831532086715017,0.000966529823833984,0.00112261044448567,0.00126216810238603,0.00131543261086009
10,0.000563768380303547,0.000752266510355676,0.000812401247016653,0.00082495749238177,0.000833541453523392,0.000836827128771798,0.000837791995124033,0.00145249666775367,0.00168023073125289,0.00194058980964071,0.00217691786651085,0.00227247669559417
