Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWh,0,1,1,4,8,9,138,726,1524,2137,2355,2639,3382,4225,4909,5502,6415,6851,6874,7095
ag003,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,7,7,7,7,4
ag004,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,18,13,13,13
ag005,0,0,0,0,0,0,0,0,5,5,5,5,5,13,13,13,13,23,18,18
ag010,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15,15,15
ag012,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,33,23,23,23
ag013,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,14,14,14,14,20
ag014,0,0,0,0,0,0,0,0,7,7,7,7,7,16,16,16,16,27,20,20
ag015,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,9
ag016,0,0,0,0,0,0,0,0,0,11,11,11,11,11,25,25,25,25,44,33
ag017,0,0,0,0,0,0,0,0,13,13,13,13,13,29,29,29,46,46,33,33
ag018,0,0,0,0,0,0,0,0,7,7,7,7,7,7,16,16,16,16,20,20
ag019,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11,11
ag020,0,0,0,0,0,0,0,0,10,10,10,10,10,25,25,25,25,46,36,36
ag021,0,0,0,0,0,0,0,0,0,19,19,19,19,40,40,40,40,66,66,47
ag023,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,22,16,16
ag025,0,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,37,28,28
ag027,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,28,28,28,28,47
ag028,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,15,15,15,15,17
ag029,0,0,0,0,0,0,0,0,0,6,6,6,6,6,14,14,14,14,23,17
ag030,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,9,9,9,9,12
ag031,0,0,0,0,0,0,0,0,0,6,6,6,6,6,16,16,16,16,28,22
ag032,0,0,0,0,0,0,0,0,7,7,7,7,15,15,15,15,26,26,19,19
ag033,0,0,0,0,0,0,0,0,14,14,14,14,29,29,29,29,48,48,34,34
ag034,0,0,0,0,0,0,0,7,7,7,7,7,17,17,17,17,30,23,23,23
ag035,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,52,38,38,38
ag036,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,14,14,14,14,17
ag037,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,22,16,16,16
ag038,0,1,1,1,1,1,1,1,8,8,8,7,7,16,16,16,16,27,20,20
ag039,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,22,16,16,16
ag040,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,22
ag042,0,0,0,0,0,0,0,0,12,12,12,12,12,26,26,26,26,43,31,31
ag043,0,0,0,0,0,0,0,0,0,5,5,5,5,5,11,11,11,11,11,14
ag044,0,0,0,0,0,0,0,0,3,3,3,3,3,10,10,10,10,19,16,16
ag045,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15,15,15
ag046,0,0,0,0,0,0,0,13,13,13,13,13,29,29,29,29,47,34,34,34
ag047,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,30,22,22
ag048,0,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,22,16
ag049,0,0,0,0,0,0,0,0,8,8,8,8,8,8,17,17,17,17,20,20
ag050,0,0,0,0,1,1,1,1,1,1,6,6,6,6,11,11,11,11,11,18
ag051,0,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19,19,19,33,25
ag052,0,0,0,0,0,0,0,0,0,13,13,13,13,13,28,28,28,28,45,32
ag053,0,0,0,0,0,0,0,0,0,8,8,8,8,8,17,17,17,17,28,20
ag054,0,0,0,0,0,0,8,8,8,8,8,20,20,20,20,34,26,26,26,43
ag055,0,0,0,0,0,0,0,16,16,16,16,16,34,34,34,34,55,39,39,39
ag056,0,0,0,0,0,0,0,0,14,14,14,14,28,28,28,28,45,45,31,31
ag058,0,0,0,0,0,0,12,12,12,12,12,29,29,29,29,49,37,37,37,62
ag059,0,0,0,0,0,0,0,0,9,9,9,9,19,19,19,19,32,32,23,23
ag060,0,0,0,0,0,0,0,6,6,6,6,6,6,13,13,13,13,17,17,17
ag062,0,0,0,0,0,0,0,10,10,10,10,10,22,22,22,22,38,28,28,28
ag063,0,0,0,0,0,0,0,0,8,8,8,8,8,19,19,19,19,33,25,25
ag064,0,0,0,0,0,0,0,0,0,6,6,6,6,6,13,13,13,13,21,15
ag065,0,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,36,27,27,27
ag066,0,0,0,0,0,0,0,0,0,5,5,5,5,11,11,11,11,19,19,14
ag067,0,0,0,0,0,0,0,12,12,12,12,24,24,24,24,39,39,27,27,44
ag068,0,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,50,36,36
ag069,0,0,0,0,0,0,0,0,12,12,12,12,12,25,25,25,25,40,28,28
ag070,0,0,0,0,0,0,0,13,13,13,13,13,28,28,28,28,45,32,32,32
ag071,0,0,0,0,0,0,0,0,8,8,8,8,8,18,18,18,18,30,22,22
ag072,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,19,19,19,19,33
ag073,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,24,17,17,17
ag074,0,0,0,0,0,0,0,0,0,9,9,9,9,9,23,23,23,23,41,32
ag075,0,0,0,0,0,0,0,0,22,22,22,22,44,44,44,44,72,72,50,79
ag076,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,22,22,22,22
ag077,0,0,0,0,0,0,0,0,6,6,6,6,6,6,15,15,15,15,20,20
ag078,0,0,0,0,0,0,0,9,9,9,9,9,20,20,20,20,33,24,24,24
ag080,0,0,0,0,0,0,9,9,9,9,9,21,21,21,21,35,26,26,26,44
ag081,0,0,0,0,0,0,0,4,4,4,4,4,11,11,11,11,21,17,17,17
ag082,0,0,0,0,0,0,0,11,11,11,11,11,26,26,26,26,45,34,34,55
ag083,0,0,0,0,0,0,0,4,4,4,4,4,10,10,10,10,18,14,14,14
