Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
Total_kWp,935,1125,1265,1295,1305,1305,1305,1305,1305,1305,1305,1323.5,1448,1607.5,1632.5,1658.5,1730.5,1949.5,2486,2668.5
ag003,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag004,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag005,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag010,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag012,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag013,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag014,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag015,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag016,0,0,5,5,5,5,5,5,5,5,5,5,5,9.5,9.5,9.5,9.5,9.5,15,15
ag017,0,5,5,5,5,5,5,5,5,5,5,5,12.5,12.5,12.5,12.5,16,16,16,16
ag018,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag019,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag020,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,15.5,15.5
ag021,0,0,5,5,5,5,5,5,5,5,5,5,5,13.5,13.5,14.5,14.5,14.5,14.5,19.5
ag023,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag025,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
ag027,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11.5,11.5
ag028,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag029,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10
ag030,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ag031,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10
ag032,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,10,10
