Start,Finish,UnitInsolation_kWh
1/01/2013 0:00,1/01/2013 1:00,0
1/01/2013 1:00,1/01/2013 2:00,0
1/01/2013 2:00,1/01/2013 3:00,0
1/01/2013 3:00,1/01/2013 4:00,0
1/01/2013 4:00,1/01/2013 5:00,0
1/01/2013 5:00,1/01/2013 6:00,0
1/01/2013 6:00,1/01/2013 7:00,0.02
1/01/2013 7:00,1/01/2013 8:00,0.11
1/01/2013 8:00,1/01/2013 9:00,0.27
1/01/2013 9:00,1/01/2013 10:00,0.47
1/01/2013 10:00,1/01/2013 11:00,0.63
1/01/2013 11:00,1/01/2013 12:00,0.72
1/01/2013 12:00,1/01/2013 13:00,0.76
1/01/2013 13:00,1/01/2013 14:00,0.72
1/01/2013 14:00,1/01/2013 15:00,0.65
1/01/2013 15:00,1/01/2013 16:00,0.54
1/01/2013 16:00,1/01/2013 17:00,0.42
1/01/2013 17:00,1/01/2013 18:00,0.26
1/01/2013 18:00,1/01/2013 19:00,0.11
1/01/2013 19:00,1/01/2013 20:00,0.01
1/01/2013 20:00,1/01/2013 21:00,0
1/01/2013 21:00,1/01/2013 22:00,0
1/01/2013 22:00,1/01/2013 23:00,0
1/01/2013 23:00,2/01/2013 0:00,0
2/01/2013 0:00,2/01/2013 1:00,0
2/01/2013 1:00,2/01/2013 2:00,0
2/01/2013 2:00,2/01/2013 3:00,0
2/01/2013 3:00,2/01/2013 4:00,0
2/01/2013 4:00,2/01/2013 5:00,0
2/01/2013 5:00,2/01/2013 6:00,0
2/01/2013 6:00,2/01/2013 7:00,0.01
2/01/2013 7:00,2/01/2013 8:00,0.09
2/01/2013 8:00,2/01/2013 9:00,0.21
2/01/2013 9:00,2/01/2013 10:00,0.3
2/01/2013 10:00,2/01/2013 11:00,0.37
2/01/2013 11:00,2/01/2013 12:00,0.47
2/01/2013 12:00,2/01/2013 13:00,0.55
2/01/2013 13:00,2/01/2013 14:00,0.47
2/01/2013 14:00,2/01/2013 15:00,0.41
2/01/2013 15:00,2/01/2013 16:00,0.32
2/01/2013 16:00,2/01/2013 17:00,0.2
2/01/2013 17:00,2/01/2013 18:00,0.07
2/01/2013 18:00,2/01/2013 19:00,0.02
2/01/2013 19:00,2/01/2013 20:00,0
2/01/2013 20:00,2/01/2013 21:00,0
2/01/2013 21:00,2/01/2013 22:00,0
2/01/2013 22:00,2/01/2013 23:00,0
2/01/2013 23:00,3/01/2013 0:00,0
3/01/2013 0:00,3/01/2013 1:00,0
3/01/2013 1:00,3/01/2013 2:00,0
3/01/2013 2:00,3/01/2013 3:00,0
3/01/2013 3:00,3/01/2013 4:00,0
3/01/2013 4:00,3/01/2013 5:00,0
3/01/2013 5:00,3/01/2013 6:00,0
3/01/2013 6:00,3/01/2013 7:00,0.01
3/01/2013 7:00,3/01/2013 8:00,0.1
